Index,Match
135302,526
135303,526
135304,526
135305,526
135307,526
135311,526
135312,526
135313,526
135314,526
135315,526
137015,532
137020,532
137021,532
138846,539
138848,539
138849,539
138851,539
138852,539
138853,539
138855,539
138856,539
142509,553
142510,553
142511,553
142512,553
143172,556
143173,556
143174,556
143176,556
143178,556
145276,564
145283,564
145285,564
145286,564
146406,568
146408,568
146409,568
146410,568
146412,568
146414,568
146415,568
146417,568
146419,568
146420,568
146422,568
146423,568
147967,574
147969,574
147970,574
147971,574
147972,574
147974,574
147975,574
147976,574
147977,574
148778,577
148781,577
148782,577
148784,577
148785,577
149982,582
149986,582
149988,582
149989,582
149991,582
149992,582
149994,582
149995,582
149996,582
149998,582
150001,582
150002,582
150004,582
150005,582
150008,582
150881,585
150885,585
150887,585
150889,585
150890,585
150891,585
150895,585
153100,594
153101,594
153102,594
153105,594
153106,594
153107,594
153108,594
153111,594
153114,594
153115,594
153120,594
153121,594
153122,594
153123,594
153124,594
153125,594
153617,596
153618,596
153623,596
153626,596
153627,596
153628,596
153629,596
153631,596
153632,596
153633,596
153636,596
156825,608
156826,608
156828,608
156829,608
156830,608
156831,608
156833,608
157781,612
157785,612
157788,612
157790,612
182876,709
182877,709
182882,709
182885,709
182890,709
182891,709
182892,709
182894,709
182896,709
183523,711
183525,711
183527,711
183533,711
183534,711
183535,711
183536,711
183538,711
186727,724
186728,724
186729,724
186733,724
186735,724
186740,724
186741,724
186742,724
188327,731
188328,731
188329,731
188331,731
188332,731
188333,731
193459,752
193460,752
193461,752
193462,752
193465,752
193467,752
193468,752
193469,752
193471,752
193472,752
193474,752
193475,752
193476,752
193478,752
193479,752
195582,760
195585,760
195586,760
195588,760
195589,760
195590,760
195591,760
195592,760
195593,760
195594,760
195595,760
195596,760
195598,760
195600,760
195601,760
195602,760
195603,760
195608,760
196510,764
196512,764
196514,764
196516,764
196517,764
196518,764
196520,764
196522,764
196523,764
201430,783
201431,783
201433,783
