Index,Match
103863,403
107313,416
107314,416
107315,416
107316,416
107319,416
107320,416
107321,416
107322,416
107323,416
107324,416
107331,416
107338,416
107340,416
107341,416
107342,416
107343,416
107346,416
107347,416
107348,416
108570,421
108576,421
108577,421
108581,421
108582,421
108583,421
108588,421
108589,421
109755,426
109756,426
109757,426
109762,426
109763,426
109764,426
109765,426
109766,426
109767,426
109768,426
109769,426
109773,426
109774,426
109775,426
109776,426
109778,426
109779,426
109785,426
111074,431
111075,431
111077,431
111078,431
111079,431
111084,431
111087,431
111088,431
111089,431
111090,431
111096,431
111097,431
111098,431
111099,431
111100,431
