Index,Match
604,3
606,3
607,3
610,3
611,3
612,3
614,3
616,3
1359,6
1360,6
1362,6
1363,6
1364,6
3294,13
3295,13
3296,13
3297,13
3298,13
3299,13
3301,13
3302,13
3308,13
3309,13
3310,13
3311,13
3314,13
3317,13
3320,13
3321,13
3322,13
3324,13
3325,13
3326,13
5115,20
5116,20
5117,20
5119,20
5123,20
5125,20
5126,20
5127,20
5128,20
5130,20
5133,20
5134,20
5138,20
5139,20
5140,20
5145,20
5860,23
5861,23
5866,23
5867,23
5868,23
5869,23
5870,23
5871,23
5874,23
5875,23
5876,23
5877,23
5879,23
5880,23
5881,23
6655,26
6656,26
6657,26
6663,26
6664,26
6668,26
6672,26
6677,26
6678,26
6680,26
6681,26
6682,26
7670,30
7671,30
7672,30
7673,30
7674,30
7675,30
7676,30
7678,30
7679,30
7681,30
7682,30
7684,30
7685,30
7686,30
7688,30
7689,30
7691,30
7692,30
7695,30
7696,30
7697,30
7698,30
7699,30
7700,30
7703,30
7706,30
7708,30
7710,30
7711,30
7712,30
7713,30
7714,30
7717,30
7718,30
7719,30
7720,30
8553,34
8557,34
8558,34
9563,38
9564,38
9566,38
9567,38
9569,38
9570,38
9573,38
10380,41
10383,41
10384,41
10385,41
10386,41
10387,41
10389,41
10390,41
10391,41
10396,41
10397,41
10398,41
10399,41
10401,41
10403,41
10404,41
10405,41
10407,41
10408,41
11770,46
11771,46
12373,49
12379,49
12380,49
12382,49
12384,49
12385,49
12386,49
12387,49
12388,49
12390,49
12391,49
12393,49
12395,49
12396,49
12400,49
12401,49
12403,49
12404,49
12406,49
12407,49
12408,49
12411,49
12414,49
12416,49
12417,49
12420,49
12421,49
12424,49
12428,49
12429,49
12430,49
12431,49
12433,49
12434,49
12437,49
12439,49
12440,49
12441,49
12443,49
12446,49
13220,52
13221,52
13222,52
16809,67
17932,71
18990,75
18992,75
18994,75
18998,75
18999,75
19000,75
20425,81
20427,81
20428,81
20431,81
21413,84
21418,84
21422,84
21423,84
26332,103
26334,103
26337,103
26341,103
26342,103
26345,103
26346,103
26348,103
26353,103
26354,103
26356,103
26358,103
26359,103
26360,103
26361,103
26364,103
26365,103
26370,103
26371,103
26372,103
27246,107
27247,107
27248,107
27249,107
27251,107
27252,107
27255,107
27256,107
27257,107
27259,107
27260,107
27263,107
27264,107
27268,107
27269,107
27271,107
27272,107
27275,107
27276,107
27278,107
27279,107
27281,107
27282,107
27283,107
27285,107
27772,109
27773,109
27775,109
27776,109
27777,109
27780,109
27781,109
27786,109
27788,109
27793,109
27795,109
27797,109
27800,109
27802,109
27803,109
27805,109
27810,109
27812,109
27813,109
27816,109
27817,109
27820,109
27821,109
27824,109
27825,109
27828,109
27829,109
27830,109
27832,109
27833,109
27838,109
27839,109
27842,109
27843,109
27847,109
29230,115
29231,115
29234,115
29235,115
29236,115
29238,115
46711,182
46712,182
46715,182
46716,182
46717,182
46720,182
46721,182
46722,182
46723,182
46724,182
46727,182
46728,182
46730,182
