Index,Match
108618,421
108619,421
108621,421
108623,421
108624,421
108625,421
108626,421
108628,421
108629,421
108632,421
108633,421
108634,421
108635,421
108636,421
108637,421
109786,426
109787,426
109793,426
109796,426
109800,426
109801,426
109802,426
109803,426
109804,426
109805,426
109808,426
109811,426
109813,426
109815,426
109817,426
109820,426
109822,426
109823,426
109824,426
109825,426
109827,426
109831,426
111117,431
111119,431
111121,431
111122,431
111123,431
111125,431
111126,431
111127,431
111132,431
111136,431
111138,431
111139,431
111142,431
111144,431
111146,431
111149,431
111152,431
111158,431
111159,431
112450,436
112451,436
112453,436
112454,436
112455,436
112456,436
112457,436
112458,436
112460,436
112462,436
112463,436
112465,436
112466,436
112472,436
112473,436
112475,436
112476,436
112481,436
112482,436
112493,436
112495,436
112496,436
112498,436
112500,436
112502,436
112503,436
115395,447
115396,447
115397,447
115398,447
116364,451
116365,451
116366,451
116367,451
116369,451
116371,451
116374,451
116375,451
116379,451
116380,451
116384,451
116387,451
116388,451
116392,451
116393,451
116397,451
116398,451
116399,451
116400,451
116402,451
116403,451
116405,451
117564,456
117567,456
117568,456
117572,456
117573,456
117574,456
117575,456
117576,456
119964,465
119965,465
119968,465
119969,465
119970,465
119972,465
120631,468
120632,468
120636,468
120639,468
120641,468
120642,468
122063,474
122064,474
122065,474
122066,474
122068,474
122069,474
122070,474
122071,474
122072,474
122073,474
122080,474
122081,474
122083,474
122090,474
122092,474
122093,474
122094,474
122095,474
122096,474
122098,474
122103,474
122109,474
122114,474
122115,474
122117,474
122118,474
122121,474
122122,474
122123,474
122124,474
126142,491
126143,491
126144,491
126904,494
126905,494
126906,494
126907,494
126909,494
126911,494
126913,494
126922,494
126923,494
126924,494
126925,494
126926,494
126927,494
126931,494
126932,494
126933,494
126935,494
126937,494
126940,494
126941,494
126952,494
126956,494
126959,494
126962,494
126963,494
126964,494
126966,494
126967,494
126968,494
126971,494
126975,494
128343,499
128346,499
128347,499
128348,499
128352,499
128358,499
128363,499
128364,499
128366,499
128368,499
128371,499
128372,499
128373,499
128377,499
128378,499
128379,499
128971,502
128972,502
128977,502
128978,502
128979,502
128980,502
130650,508
130652,508
130655,508
130657,508
130658,508
130660,508
130662,508
130664,508
130665,508
130667,508
130669,508
130671,508
130674,508
130675,508
130678,508
130679,508
130682,508
130683,508
130684,508
130686,508
132092,514
132093,514
132094,514
132095,514
132096,514
132097,514
132099,514
132100,514
132101,514
132104,514
132109,514
132110,514
132111,514
132112,514
132115,514
132116,514
132118,514
132120,514
132121,514
132122,514
132127,514
132132,514
132136,514
132137,514
132142,514
132143,514
132144,514
132145,514
132146,514
132147,514
132148,514
132151,514
132156,514
132158,514
136086,529
136087,529
136088,529
136089,529
137369,534
137370,534
137375,534
137377,534
137381,534
137382,534
137383,534
137384,534
137385,534
137389,534
137390,534
137391,534
137393,534
137395,534
137396,534
137397,534
137398,534
137399,534
137400,534
137402,534
137404,534
137405,534
137407,534
137409,534
137411,534
137414,534
137416,534
137417,534
138541,538
138542,538
138543,538
138544,538
138547,538
138548,538
138549,538
138554,538
138557,538
138559,538
138561,538
138565,538
138566,538
138569,538
138571,538
138573,538
138576,538
138578,538
138579,538
138581,538
138584,538
139249,541
139250,541
139253,541
139259,541
139264,541
142344,553
142345,553
142348,553
142354,553
142357,553
142358,553
142360,553
142361,553
142362,553
142363,553
142368,553
142369,553
142371,553
142372,553
142373,553
142375,553
142377,553
143412,557
143413,557
143414,557
143415,557
143416,557
143418,557
143421,557
143425,557
143426,557
143427,557
143428,557
143430,557
143431,557
143434,557
143436,557
143437,557
143439,557
143440,557
143441,557
143442,557
143444,557
143445,557
145539,565
145542,565
