Index,Match
412,2
416,2
417,2
418,2
419,2
420,2
421,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
434,2
437,2
439,2
440,2
445,2
446,2
447,2
448,2
449,2
452,2
460,2
461,2
462,2
463,2
466,2
467,2
468,2
469,2
472,2
473,2
792,4
798,4
799,4
805,4
807,4
808,4
810,4
811,4
813,4
814,4
815,4
816,4
818,4
824,4
829,4
2194,9
2196,9
2197,9
2200,9
2201,9
2206,9
2209,9
2211,9
2212,9
2213,9
3091,13
3092,13
3093,13
4156,17
4157,17
4158,17
4159,17
4161,17
4162,17
4163,17
4165,17
4167,17
4171,17
4172,17
4173,17
4182,17
4183,17
4184,17
4185,17
4190,17
4192,17
4193,17
4194,17
4195,17
4197,17
4199,17
4200,17
4201,17
4203,17
6387,25
6388,25
6389,25
6390,25
6393,25
6395,25
6405,25
6996,28
6999,28
7000,28
7001,28
7002,28
7007,28
7008,28
7011,28
7012,28
7013,28
7018,28
7019,28
7020,28
7021,28
7023,28
7024,28
7025,28
7026,28
7029,28
7030,28
7031,28
7032,28
7035,28
7036,28
7037,28
7043,28
7044,28
7045,28
7046,28
7048,28
7050,28
7051,28
7053,28
7261,29
7262,29
7263,29
7264,29
7268,29
7270,29
7271,29
7273,29
7278,29
7279,29
7281,29
7282,29
7284,29
7287,29
7289,29
7290,29
7291,29
7294,29
7297,29
7300,29
7302,29
7303,29
7305,29
7306,29
7309,29
7312,29
7316,29
7318,29
7320,29
7321,29
7322,29
7324,29
7325,29
7326,29
7329,29
7332,29
7333,29
7334,29
7335,29
7339,29
7341,29
7344,29
8256,33
8257,33
8263,33
8265,33
8266,33
8267,33
8269,33
8275,33
9634,38
9635,38
9636,38
9637,38
10157,40
10158,40
10159,40
10160,40
10161,40
10163,40
10164,40
10165,40
10166,40
10809,43
10810,43
10811,43
10813,43
10814,43
10815,43
10816,43
10821,43
10823,43
10825,43
10830,43
10831,43
10834,43
10836,43
10841,43
10842,43
10843,43
10845,43
10846,43
10849,43
12994,51
13755,54
13756,54
13757,54
13758,54
13759,54
13760,54
13761,54
13769,54
13772,54
13773,54
13774,54
13786,54
13787,54
13790,54
13791,54
13792,54
13793,54
13795,54
13799,54
13801,54
13803,54
13804,54
13805,54
13807,54
13808,54
13810,54
13813,54
13814,54
13819,54
13821,54
13823,54
13824,54
13826,54
13827,54
14116,56
14117,56
14118,56
14120,56
14121,56
14123,56
14124,56
14126,56
14129,56
14130,56
14131,56
14132,56
14133,56
14134,56
14136,56
14139,56
14144,56
14145,56
14149,56
14150,56
14151,56
14152,56
14153,56
14157,56
14159,56
14160,56
14161,56
14165,56
14166,56
14168,56
14171,56
14174,56
14176,56
14177,56
14178,56
14179,56
14182,56
14183,56
14187,56
14188,56
14189,56
14190,56
14191,56
14192,56
14916,59
14917,59
14921,59
14924,59
14926,59
14928,59
14931,59
14934,59
14937,59
14938,59
14939,59
14941,59
14945,59
14946,59
14947,59
14948,59
14950,59
14951,59
14952,59
14956,59
14960,59
14962,59
14963,59
14965,59
14966,59
14970,59
14971,59
14973,59
14974,59
14975,59
14976,59
14978,59
14979,59
14980,59
14981,59
14983,59
14984,59
14988,59
15847,63
15848,63
15864,63
15866,63
15867,63
15868,63
15869,63
15871,63
15873,63
15874,63
15883,63
15887,63
15888,63
15890,63
16359,65
16360,65
16361,65
16362,65
16363,65
16368,65
16369,65
16375,65
16376,65
16382,65
16388,65
16390,65
16392,65
16394,65
16395,65
16396,65
16398,65
16399,65
16400,65
16401,65
16404,65
16410,65
16412,65
16414,65
16415,65
16416,65
16417,65
16421,65
16423,65
16425,65
16429,65
16431,65
16432,65
16433,65
16434,65
16435,65
16436,65
16437,65
16439,65
16440,65
17575,70
17576,70
17581,70
17582,70
17583,70
17584,70
17587,70
17589,70
17591,70
17592,70
17593,70
17594,70
17597,70
17598,70
17599,70
17600,70
17602,70
17603,70
17604,70
17607,70
17609,70
17610,70
18620,74
18624,74
18625,74
18626,74
18629,74
18633,74
18634,74
18638,74
18639,74
18640,74
18641,74
18642,74
18646,74
18647,74
18651,74
18652,74
18655,74
18656,74
18660,74
19278,76
19279,76
19282,76
19283,76
19284,76
19285,76
19292,76
19293,76
19294,76
19295,76
19298,76
19301,76
19306,76
20279,80
20280,80
20287,80
20288,80
20291,80
20292,80
20297,80
20302,80
20303,80
20304,80
20306,80
20308,80
20309,80
20310,80
20311,80
20312,80
20313,80
22127,87
22128,87
22129,87
22130,87
22131,87
22132,87
22135,87
22136,87
22138,87
22153,87
22156,87
22157,87
22158,87
22165,87
22170,87
22173,87
22174,87
22175,87
22177,87
22178,87
22180,87
22181,87
22183,87
22187,87
22190,87
22192,87
22193,87
22197,87
22199,87
22201,87
22202,87
22203,87
22205,87
22207,87
22209,87
22215,87
22216,87
22217,87
22218,87
