Index,Match
138418,538
138419,538
138422,538
138423,538
138426,538
138427,538
138428,538
138431,538
138435,538
138437,538
138439,538
138441,538
138442,538
138443,538
138444,538
138445,538
138446,538
138447,538
138449,538
138450,538
139552,542
139553,542
139554,542
139558,542
139561,542
139562,542
139563,542
139568,542
139570,542
139575,542
139576,542
139577,542
139585,542
139586,542
139587,542
139588,542
139589,542
139591,542
139592,542
139600,542
139601,542
139602,542
139603,542
139604,542
139608,542
139610,542
139613,542
140304,545
140315,545
140316,545
140317,545
140318,545
140321,545
140322,545
140323,545
142971,555
142973,555
142974,555
142975,555
142976,555
142977,555
142980,555
142981,555
142982,555
142989,555
142992,555
142993,555
142994,555
142995,555
142998,555
143000,555
143002,555
143003,555
143004,555
143005,555
143007,555
143009,555
