Index,Match
47773,186
47775,186
47777,186
47778,186
47781,186
51494,200
51495,200
51496,200
51497,200
51500,200
51501,200
51502,200
51504,200
51505,200
51506,200
51507,200
51510,200
51511,200
51514,200
51515,200
52451,204
52452,204
52456,204
52457,204
52458,204
52459,204
56680,220
56682,220
56683,220
56684,220
56686,220
56687,220
56689,220
58326,226
58330,226
58331,226
58332,226
58333,226
58334,226
58338,226
58339,226
58341,226
58342,226
59270,230
59275,230
59276,230
59277,230
59278,230
59280,230
59281,230
61482,238
61487,238
61489,238
61493,238
61494,238
61495,238
61496,238
61498,238
61499,238
61502,238
61505,238
61506,238
61509,238
61510,238
61517,238
61518,238
