Index,Match
61979,240
61980,240
62793,243
62794,243
62796,243
62797,243
62798,243
62799,243
65612,254
65613,254
65615,254
67185,260
67186,260
67187,260
67189,260
67190,260
67191,260
67193,260
69507,270
69508,270
69509,270
69514,270
72890,284
72893,284
72895,284
73646,287
73658,287
73659,287
73662,287
73667,287
73668,287
73671,287
76770,299
76775,299
76776,299
76780,299
76787,299
76788,299
76789,299
76792,299
76793,299
79219,309
79220,309
79221,309
79222,309
79224,309
87209,339
87212,339
115891,449
115894,449
115895,449
115896,449
115897,449
115898,449
115899,449
115900,449
115903,449
