Index,Match
2437,10
2439,10
2440,10
11052,43
24962,98
24963,98
28810,113
29582,116
29583,116
29586,116
29587,116
29588,116
29589,116
29591,116
29592,116
29593,116
29599,116
29602,116
29605,116
29606,116
30136,118
30137,118
35538,138
35539,138
35540,138
35543,138
35544,138
35545,138
38396,149
38399,149
38400,149
38402,149
42196,164
42197,164
42200,164
42201,164
44337,173
44340,173
44342,173
44343,173
44351,173
57315,222
57316,222
122330,475
125910,490
125913,490
125914,490
125915,490
131745,512
131747,512
131750,512
131753,512
131754,512
134127,521
134128,521
134129,521
134130,521
136748,531
136749,531
136750,531
136755,531
136757,531
136758,531
137290,533
137291,533
137292,533
137294,533
137295,533
137297,533
137298,533
139615,542
139618,542
139620,542
139623,542
140382,545
140386,545
140389,545
140391,545
140393,545
143022,555
143024,555
143026,555
143030,555
143031,555
143032,555
145395,564
145397,564
145399,564
146061,567
146062,567
146063,567
146067,567
146068,567
146069,567
146071,567
146072,567
146073,567
146074,567
146078,567
146079,567
148239,575
148240,575
148243,575
148245,575
148246,575
148249,575
148250,575
148252,575
148256,575
148259,575
148264,575
150125,582
152436,591
152437,591
152438,591
152439,591
152440,591
152441,591
152442,591
152443,591
152445,591
152448,591
152449,591
152450,591
155333,602
155334,602
155335,602
155336,602
155337,602
155338,602
155339,602
155340,602
155341,602
155343,602
155346,602
155347,602
155348,602
155349,602
155350,602
155351,602
155352,602
155353,602
155355,602
155358,602
155360,602
155361,602
155362,602
155363,602
155366,602
156393,606
156394,606
156397,606
159209,617
159210,617
159212,617
159623,619
159624,619
166641,646
166642,646
166645,646
171973,667
186130,721
186131,721
186132,721
186133,721
189530,735
189531,735
189532,735
189541,735
193481,752
193484,752
196524,764
200158,778
200159,778
200160,778
200161,778
200162,778
200165,778
200166,778
200167,778
200168,778
204828,796
204831,796
205352,798
205353,798
207714,808
207715,808
207716,808
207717,808
207718,808
207720,808
207721,808
208632,811
208633,811
208634,811
208635,811
209289,814
209297,814
209823,816
