Index,Match
476,2
477,2
478,2
479,2
480,2
482,2
483,2
493,2
496,2
497,2
498,2
499,2
502,2
505,2
506,2
834,4
836,4
838,4
842,4
846,4
848,4
851,4
853,4
856,4
859,4
860,4
864,4
866,4
867,4
869,4
872,4
873,4
875,4
876,4
877,4
881,4
884,4
885,4
886,4
887,4
889,4
891,4
892,4
894,4
896,4
897,4
898,4
899,4
901,4
2235,9
2239,9
2241,9
2242,9
2243,9
3128,13
3130,13
3132,13
3137,13
3138,13
3142,13
3144,13
3145,13
3149,13
3151,13
3153,13
3155,13
3157,13
3158,13
3159,13
3160,13
3161,13
3165,13
4259,17
4262,17
4263,17
6466,25
6467,25
6470,25
6471,25
6473,25
6476,25
6478,25
6482,25
6483,25
7078,28
7079,28
7082,28
7083,28
7084,28
7085,28
7088,28
7089,28
7090,28
7091,28
7092,28
7093,28
9644,38
9645,38
9646,38
9647,38
9648,38
9649,38
9650,38
9651,38
9652,38
9654,38
9655,38
9656,38
9659,38
9660,38
9661,38
9662,38
9666,38
9667,38
9668,38
9669,38
9670,38
9671,38
9672,38
9673,38
9684,38
9685,38
9686,38
9687,38
9690,38
9691,38
9692,38
9693,38
9694,38
9695,38
9696,38
9697,38
9699,38
9701,38
9702,38
9705,38
9707,38
9715,38
9716,38
9720,38
9721,38
9725,38
9729,38
9730,38
9731,38
9732,38
9736,38
9738,38
9739,38
9740,38
9744,38
9745,38
9746,38
9747,38
9748,38
9750,38
9751,38
9752,38
9753,38
9755,38
10209,40
10213,40
10214,40
10217,40
10218,40
10219,40
10222,40
10223,40
10224,40
10225,40
10229,40
10230,40
10231,40
10238,40
10239,40
10851,43
10854,43
10855,43
10857,43
10859,43
10860,43
10866,43
10867,43
10869,43
10871,43
10872,43
10873,43
10875,43
10877,43
10878,43
10883,43
10885,43
10886,43
10887,43
10889,43
10890,43
10891,43
10893,43
10894,43
10896,43
10897,43
13052,51
13053,51
13054,51
13055,51
13056,51
13061,51
13062,51
13063,51
13065,51
13068,51
13070,51
13071,51
13072,51
13073,51
13074,51
13076,51
13077,51
13078,51
13079,51
13081,51
13083,51
13085,51
13088,51
13089,51
13090,51
13091,51
15892,63
15893,63
15894,63
15895,63
15898,63
15900,63
15901,63
15903,63
16367,65
16370,65
16371,65
16372,65
16373,65
16374,65
16377,65
16378,65
16379,65
16380,65
16381,65
16383,65
17619,70
17620,70
17621,70
17625,70
17626,70
17629,70
17631,70
17632,70
17634,70
17635,70
17636,70
17637,70
17640,70
17641,70
17643,70
17644,70
17645,70
17646,70
17647,70
17649,70
17650,70
17652,70
18697,74
18698,74
18700,74
18704,74
18705,74
18706,74
18709,74
18712,74
18714,74
18715,74
18716,74
19299,76
19300,76
19302,76
19303,76
19304,76
19305,76
19308,76
19309,76
19310,76
19311,76
19312,76
19316,76
19321,76
19323,76
19326,76
19330,76
19332,76
19333,76
19336,76
19337,76
19338,76
19339,76
19341,76
19345,76
19347,76
19350,76
19351,76
19352,76
19353,76
19354,76
19356,76
19357,76
19360,76
19362,76
19364,76
19366,76
19367,76
19368,76
20314,80
20316,80
20317,80
20318,80
20319,80
20323,80
20324,80
20326,80
20330,80
20331,80
20335,80
20337,80
20340,80
20341,80
20342,80
20345,80
20346,80
20349,80
20350,80
20351,80
20352,80
20355,80
20357,80
20358,80
20361,80
20362,80
20363,80
20365,80
20367,80
22185,87
22186,87
22188,87
23237,91
23238,91
23241,91
24648,97
24649,97
24650,97
24653,97
24654,97
24655,97
24656,97
24657,97
24659,97
25196,99
25198,99
25199,99
25200,99
25204,99
25205,99
25210,99
25212,99
25216,99
25220,99
25224,99
26024,102
26025,102
26026,102
26032,102
26033,102
26034,102
26035,102
27435,108
27437,108
27439,108
27440,108
27447,108
27450,108
27451,108
27452,108
27453,108
27455,108
27457,108
27459,108
27461,108
31542,123
31543,123
32482,127
32483,127
32486,127
32493,127
32497,127
32499,127
32500,127
32504,127
32505,127
33641,131
33644,131
33645,131
33647,131
33650,131
33655,131
33658,131
33660,131
33662,131
33663,131
33664,131
33666,131
33667,131
33668,131
33669,131
33671,131
33676,131
33681,131
33684,131
33685,131
33686,131
33690,131
33693,131
33694,131
33695,131
33696,131
34230,133
34231,133
35930,140
35932,140
35934,140
35936,140
35941,140
35942,140
35943,140
35944,140
35945,140
35948,140
35949,140
35950,140
35951,140
35952,140
36903,144
36907,144
36908,144
36912,144
36917,144
36919,144
36921,144
36922,144
36924,144
36925,144
36926,144
36933,144
36935,144
36936,144
36937,144
36938,144
36941,144
36943,144
36944,144
36946,144
36949,144
36951,144
36953,144
36954,144
36955,144
36957,144
36960,144
39910,155
39911,155
40852,159
40853,159
40855,159
40856,159
40858,159
40859,159
40860,159
40867,159
41726,162
41728,162
41735,162
41736,162
41739,162
41740,162
41743,162
41744,162
41745,162
41748,162
50088,195
50089,195
50090,195
50091,195
50092,195
50095,195
52895,206
52896,206
52906,206
52907,206
52910,206
52912,206
52913,206
52914,206
52915,206
52916,206
52920,206
52921,206
52925,206
52927,206
52928,206
52929,206
52935,206
52936,206
52937,206
52938,206
52942,206
52946,206
52951,206
52952,206
52954,206
52955,206
52956,206
52957,206
52958,206
52959,206
52961,206
52962,206
52967,206
53900,210
53901,210
53902,210
53903,210
53905,210
53906,210
53910,210
53911,210
53918,210
53919,210
53920,210
53921,210
53926,210
53927,210
53928,210
53930,210
53932,210
53933,210
53934,210
53935,210
53936,210
56156,218
56157,218
56158,218
56159,218
56161,218
56162,218
56163,218
56164,218
56165,218
56166,218
56167,218
56168,218
56957,221
56958,221
56959,221
56960,221
56965,221
56966,221
56967,221
56968,221
56969,221
56973,221
56974,221
57975,225
57976,225
57977,225
57978,225
57980,225
57981,225
57982,225
57983,225
57985,225
57986,225
57987,225
57989,225
57990,225
57991,225
57992,225
57993,225
57994,225
57995,225
57996,225
57998,225
57999,225
58000,225
58001,225
58003,225
58004,225
58005,225
59045,229
59046,229
59047,229
59048,229
59049,229
59050,229
59054,229
59057,229
59058,229
59064,229
59065,229
59066,229
59067,229
59068,229
59069,229
59071,229
59072,229
59074,229
59075,229
59077,229
59078,229
59079,229
59080,229
59082,229
59087,229
59088,229
59089,229
59093,229
59094,229
59096,229
59097,229
59101,229
59103,229
59104,229
59105,229
59106,229
59108,229
59109,229
59111,229
59112,229
59113,229
59114,229
59118,229
59120,229
59121,229
59124,229
59126,229
59130,229
59131,229
59132,229
59133,229
59134,229
59135,229
59136,229
59137,229
59138,229
59140,229
59141,229
59143,229
59144,229
59146,229
59148,229
59149,229
59546,231
59547,231
59548,231
59549,231
59553,231
59554,231
59555,231
59556,231
59560,231
59564,231
59566,231
59570,231
59571,231
59572,231
59574,231
59575,231
59576,231
59577,231
59578,231
59580,231
59581,231
59582,231
59586,231
59588,231
59589,231
59590,231
59592,231
59595,231
59596,231
59598,231
59600,231
59602,231
59603,231
59605,231
59607,231
