Index,Match
149683,581
149684,581
149686,581
149688,581
149689,581
149690,581
149691,581
149692,581
149693,581
149694,581
149695,581
149696,581
149698,581
149699,581
152665,592
152666,592
152668,592
152669,592
152670,592
152672,592
152674,592
152675,592
152676,592
152677,592
152678,592
152679,592
152680,592
152687,592
152691,592
152693,592
152696,592
152697,592
152699,592
152700,592
152704,592
152706,592
152709,592
152710,592
152711,592
152712,592
152714,592
152715,592
152716,592
154383,599
154384,599
154386,599
154388,599
154389,599
154390,599
154391,599
154392,599
154393,599
154396,599
154400,599
154401,599
154402,599
154404,599
155872,604
155875,604
155876,604
157974,613
157975,613
157976,613
157977,613
157979,613
157980,613
157981,613
157983,613
157984,613
157992,613
157993,613
157994,613
157997,613
158001,613
158002,613
158003,613
158006,613
158008,613
158010,613
158011,613
158012,613
158016,613
158019,613
158020,613
158025,613
158026,613
158027,613
158028,613
158029,613
158032,613
158033,613
158038,613
158039,613
158040,613
158041,613
158042,613
158044,613
158046,613
158048,613
158049,613
158050,613
159401,618
159402,618
159403,618
159404,618
159407,618
159408,618
159409,618
159410,618
159411,618
159412,618
159415,618
159419,618
159420,618
159422,618
159423,618
159424,618
159425,618
159426,618
159427,618
159429,618
159433,618
159434,618
159436,618
159440,618
159441,618
159443,618
159444,618
159445,618
159446,618
161485,626
161489,626
161490,626
161491,626
161492,626
161493,626
162803,631
162805,631
162806,631
162807,631
162808,631
162809,631
162811,631
162813,631
162814,631
