Index,Match
31066,122
31067,122
31069,122
31070,122
31076,122
31078,122
31082,122
31083,122
31084,122
31086,122
31087,122
31088,122
31090,122
31091,122
31092,122
31093,122
31096,122
31100,122
31104,122
31105,122
31106,122
31107,122
31108,122
31109,122
31110,122
31111,122
31114,122
31115,122
31116,122
31117,122
31118,122
31121,122
31677,124
31678,124
33144,129
33146,129
33147,129
33150,129
33151,129
33152,129
33154,129
33909,132
33910,132
33912,132
33913,132
33914,132
33915,132
33916,132
33917,132
33920,132
33921,132
33923,132
33924,132
33925,132
33926,132
33927,132
33928,132
33931,132
33932,132
33933,132
33934,132
33935,132
33936,132
33940,132
33945,132
33946,132
33947,132
33951,132
33953,132
33955,132
34590,135
34592,135
34594,135
34595,135
34597,135
34601,135
34603,135
34605,135
34606,135
35746,139
35747,139
35750,139
35751,139
35752,139
35753,139
35757,139
35758,139
35759,139
35760,139
35761,139
35762,139
35764,139
35765,139
35766,139
35767,139
35768,139
35769,139
35770,139
35771,139
35772,139
35776,139
37345,145
37346,145
37348,145
37350,145
37351,145
37353,145
40220,156
40223,156
40224,156
40226,156
40229,156
40233,156
40234,156
40235,156
40236,156
40239,156
41003,159
41004,159
41005,159
41007,159
41009,159
42433,165
42435,165
42440,165
42441,165
42442,165
42443,165
42444,165
43381,169
43382,169
43383,169
43387,169
43388,169
44157,172
44161,172
44162,172
44163,172
44164,172
44165,172
44167,172
44169,172
44171,172
44172,172
44173,172
44175,172
44176,172
44177,172
44178,172
44179,172
44182,172
44183,172
44185,172
44189,172
44190,172
44191,172
44193,172
119165,462
119166,462
120918,469
120919,469
120920,469
120922,469
120923,469
120927,469
120928,469
120930,469
120931,469
120932,469
120939,469
120942,469
123761,481
123763,481
123770,481
123772,481
123776,481
123778,481
123779,481
123780,481
123781,481
123782,481
123783,481
123785,481
