Index,Match
144,1
150,1
151,1
152,1
156,1
157,1
158,1
161,1
163,1
164,1
165,1
166,1
167,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
182,1
183,1
184,1
1059,5
1068,5
1069,5
1070,5
1073,5
1074,5
1075,5
1078,5
1079,5
2828,12
2831,12
2834,12
2835,12
2838,12
2839,12
2840,12
2841,12
2847,12
2849,12
2854,12
2855,12
2856,12
2857,12
2858,12
2861,12
2863,12
2864,12
2865,12
2867,12
2868,12
2869,12
2870,12
2871,12
2875,12
2880,12
2882,12
2885,12
4960,20
4963,20
4978,20
4979,20
4980,20
4982,20
4983,20
4985,20
4991,20
4992,20
4993,20
4998,20
5000,20
5001,20
5003,20
5004,20
5005,20
5006,20
5007,20
5010,20
5012,20
5014,20
5016,20
5017,20
5018,20
5019,20
5020,20
5022,20
5023,20
5024,20
5025,20
5028,20
5029,20
5030,20
5031,20
5032,20
5033,20
5035,20
5036,20
5037,20
6914,27
6915,27
6916,27
6919,27
6920,27
6927,27
6935,27
6936,27
6939,27
6940,27
6947,27
6948,27
6949,27
6950,27
6951,27
6953,27
6954,27
6955,27
7520,30
7521,30
7524,30
7526,30
7527,30
7532,30
7535,30
7536,30
7537,30
7538,30
7541,30
7546,30
10674,42
10675,42
11306,45
13848,55
13849,55
13850,55
13851,55
13852,55
13853,55
13854,55
13855,55
13856,55
13857,55
13858,55
13859,55
13861,55
13862,55
13863,55
13865,55
13866,55
13870,55
13871,55
13873,55
13875,55
13879,55
13880,55
13883,55
13884,55
13885,55
13886,55
13888,55
13896,55
13901,55
13904,55
13910,55
13913,55
13916,55
13917,55
13922,55
13924,55
13926,55
13927,55
17852,71
17853,71
17854,71
17855,71
17856,71
17858,71
17859,71
17860,71
17861,71
17864,71
17865,71
17866,71
17870,71
17871,71
17872,71
17875,71
17877,71
17878,71
17879,71
17880,71
17881,71
17882,71
17886,71
17887,71
17888,71
17890,71
17893,71
17895,71
17899,71
17902,71
17906,71
17908,71
17910,71
17915,71
18884,75
18885,75
18886,75
18887,75
18888,75
18889,75
18890,75
18896,75
18899,75
18900,75
18901,75
18903,75
18904,75
18905,75
18906,75
18907,75
18908,75
18909,75
18912,75
18915,75
18916,75
18918,75
18919,75
18920,75
18922,75
18923,75
18927,75
18928,75
18929,75
18932,75
18936,75
18939,75
18940,75
18943,75
18944,75
18948,75
18949,75
18950,75
18951,75
18952,75
18954,75
18959,75
18960,75
18961,75
18962,75
18963,75
18968,75
