Index,Match
1251,5
1252,5
1257,5
1258,5
1264,5
2184,9
2185,9
2186,9
2187,9
2189,9
2190,9
2191,9
2192,9
2193,9
3712,15
3713,15
3714,15
3719,15
3721,15
3722,15
3723,15
3728,15
3730,15
4530,18
4531,18
4532,18
4533,18
4538,18
4540,18
4542,18
4544,18
4545,18
4546,18
6159,24
6161,24
6163,24
6164,24
6165,24
6166,24
6168,24
6169,24
6174,24
6175,24
6176,24
6177,24
6180,24
6181,24
6188,24
6193,24
6194,24
6195,24
6196,24
6199,24
6202,24
6204,24
6207,24
6209,24
6210,24
6211,24
6212,24
6214,24
6216,24
6219,24
6220,24
6222,24
6224,24
6226,24
6227,24
6228,24
6229,24
6231,24
6237,24
6238,24
6239,24
6240,24
7845,31
7846,31
7850,31
7853,31
7854,31
7858,31
7866,31
7870,31
7871,31
7872,31
8852,35
8853,35
8854,35
8855,35
8857,35
9999,39
10002,39
10003,39
10004,39
10011,39
10013,39
10014,39
15419,61
15422,61
15424,61
15426,61
15428,61
15429,61
15430,61
15431,61
15433,61
15434,61
15437,61
15439,61
15443,61
15445,61
15446,61
15447,61
16491,65
16492,65
16494,65
16495,65
16500,65
16503,65
16504,65
18308,72
18309,72
18311,72
33950,132
34607,135
34608,135
34609,135
34610,135
34611,135
34612,135
34613,135
34616,135
34621,135
34624,135
34626,135
34628,135
34629,135
34630,135
34635,135
34636,135
35805,139
35806,139
35807,139
38260,149
38261,149
38263,149
38267,149
38269,149
38270,149
38272,149
38273,149
39409,153
39413,153
39416,153
39417,153
39418,153
39419,153
39421,153
39424,153
39427,153
43412,169
47973,187
47974,187
48782,190
48783,190
48787,190
48788,190
49545,193
49546,193
56411,219
56413,219
56414,219
56415,219
56416,219
56417,219
56420,219
56421,219
59806,232
59808,232
59809,232
59812,232
59813,232
148530,576
148531,576
148535,576
148536,576
149309,579
149310,579
149311,579
149312,579
149316,579
152182,590
153243,594
157355,610
157356,610
157357,610
157358,610
157360,610
164254,637
180479,700
180482,700
180484,700
180487,700
180494,700
180496,700
180497,700
180498,700
181417,703
181418,703
181419,703
181422,703
181425,703
181426,703
185754,720
185756,720
185762,720
190291,738
190292,738
190293,738
190294,738
190295,738
190296,738
190297,738
190300,738
190302,738
190303,738
190304,738
191613,743
191614,743
191615,743
191617,743
191620,743
191621,743
191622,743
191623,743
191624,743
191625,743
191628,743
193069,750
193072,750
193076,750
193078,750
193079,750
194096,754
194101,754
194102,754
194979,758
194980,758
194981,758
194982,758
194985,758
194986,758
194987,758
194988,758
194989,758
194990,758
200452,779
200454,779
200457,779
200458,779
200459,779
200462,779
200466,779
200467,779
200468,779
200471,779
200472,779
200473,779
200474,779
200478,779
200480,779
200482,779
200483,779
200484,779
200485,779
200488,779
200489,779
200490,779
200491,779
200492,779
200493,779
200496,779
200497,779
200499,779
200500,779
200501,779
200503,779
200504,779
200505,779
201152,782
201153,782
203906,792
203907,792
203912,792
203913,792
203914,792
203915,792
203916,792
203919,792
203920,792
203921,792
203922,792
203923,792
206630,803
206631,803
206632,803
206633,803
206634,803
206636,803
206637,803
206638,803
206641,803
206642,803
206646,803
206647,803
206648,803
206649,803
206650,803
206651,803
207034,805
207036,805
207037,805
207038,805
207040,805
207044,805
207046,805
207047,805
207048,805
207049,805
207050,805
207051,805
207052,805
207054,805
207056,805
207061,805
207062,805
207063,805
207065,805
207066,805
207067,805
207068,805
208756,812
208758,812
208762,812
208763,812
208764,812
208765,812
208766,812
208767,812
208768,812
208769,812
208770,812
208771,812
208772,812
208775,812
208777,812
208778,812
208783,812
208784,812
208785,812
