Index,Match
2167,9
2168,9
2171,9
2172,9
2188,9
3699,15
3702,15
3703,15
3704,15
3705,15
3706,15
3715,15
3716,15
3717,15
3718,15
3720,15
3724,15
3725,15
3726,15
3727,15
3729,15
3732,15
3733,15
3734,15
3736,15
3737,15
3742,15
3743,15
6139,24
6140,24
6141,24
6142,24
7849,31
7851,31
7852,31
7855,31
7856,31
8842,35
8843,35
8845,35
8846,35
8847,35
8848,35
8849,35
8850,35
8856,35
8860,35
8861,35
8862,35
8864,35
8865,35
8868,35
8870,35
8871,35
8876,35
8877,35
8882,35
8885,35
8886,35
8887,35
8888,35
8889,35
8891,35
9972,39
9973,39
9975,39
9977,39
9980,39
9981,39
9985,39
9987,39
9988,39
9990,39
9993,39
9996,39
9998,39
10000,39
10001,39
10005,39
10006,39
10007,39
10008,39
10009,39
10010,39
10012,39
10015,39
10016,39
10509,41
10510,41
10511,41
10512,41
10513,41
10514,41
10515,41
10518,41
10521,41
10522,41
10523,41
10525,41
10527,41
10528,41
11225,44
11227,44
11228,44
11233,44
11234,44
11235,44
11236,44
11237,44
12519,49
12520,49
12521,49
12522,49
12524,49
12525,49
12956,51
12957,51
12958,51
12959,51
12960,51
12963,51
14048,55
14050,55
14051,55
14053,55
14054,55
14059,55
14064,55
14065,55
14068,55
18536,73
19826,78
19828,78
19829,78
19834,78
19837,78
19839,78
19842,78
19843,78
19849,78
19850,78
19851,78
19852,78
19854,78
21024,83
21025,83
21026,83
21027,83
21028,83
21030,83
21032,83
21034,83
164552,638
164553,638
164554,638
164557,638
164558,638
164559,638
164560,638
164564,638
165451,642
165453,642
165454,642
165456,642
165458,642
165459,642
165460,642
165463,642
165464,642
165465,642
165466,642
165467,642
165469,642
165472,642
165475,642
165476,642
165477,642
165479,642
165480,642
165483,642
167487,650
167490,650
167502,650
167503,650
167504,650
167505,650
167512,650
167513,650
167515,650
167516,650
167517,650
167518,650
167519,650
167521,650
167522,650
167524,650
167527,650
167529,650
167532,650
167534,650
167535,650
167536,650
167539,650
167543,650
167547,650
167551,650
167553,650
167554,650
167555,650
167556,650
167561,650
168191,653
168192,653
168193,653
168195,653
168196,653
168204,653
168207,653
168209,653
168212,653
168213,653
168214,653
168216,653
168218,653
168219,653
169375,657
169376,657
169377,657
169378,657
169379,657
169380,657
169381,657
169382,657
169383,657
169924,659
169925,659
169929,659
169930,659
169934,659
169935,659
169936,659
169937,659
169938,659
169940,659
169941,659
169942,659
169943,659
169947,659
169950,659
169951,659
169952,659
169953,659
169954,659
169955,659
169956,659
169959,659
169962,659
169964,659
169965,659
171119,664
171121,664
171122,664
171123,664
172682,670
172683,670
172684,670
172685,670
172686,670
172687,670
172688,670
174479,677
174483,677
174484,677
174486,677
174487,677
174488,677
174489,677
174490,677
174492,677
174495,677
174497,677
174504,677
178686,693
178687,693
178688,693
178689,693
178692,693
178693,693
178694,693
178702,693
178707,693
178710,693
178711,693
178713,693
178714,693
178716,693
178718,693
178719,693
178720,693
178721,693
178722,693
178725,693
178726,693
178727,693
178728,693
178729,693
178732,693
178733,693
178734,693
178735,693
178737,693
178738,693
178739,693
178742,693
178743,693
178748,693
178749,693
178750,693
178751,693
178752,693
178753,693
178754,693
178756,693
178757,693
178758,693
178760,693
178761,693
178762,693
179108,695
179109,695
179112,695
179115,695
179116,695
179117,695
179119,695
179120,695
179121,695
179122,695
179881,698
179882,698
179883,698
179884,698
179889,698
179890,698
179892,698
179893,698
179894,698
179895,698
179896,698
179897,698
179906,698
179907,698
179911,698
179912,698
179914,698
179916,698
179917,698
179918,698
179920,698
179923,698
179926,698
179928,698
179930,698
179933,698
179934,698
179939,698
179944,698
179946,698
179955,698
179956,698
179957,698
179958,698
179959,698
179962,698
179963,698
179964,698
179965,698
179966,698
179969,698
181604,704
181605,704
181606,704
181607,704
181609,704
181610,704
181611,704
181612,704
181613,704
181614,704
181616,704
182012,706
182013,706
182014,706
182017,706
182018,706
182020,706
182022,706
182023,706
182024,706
182025,706
182026,706
182029,706
182033,706
182034,706
182035,706
182036,706
182037,706
182039,706
182043,706
182044,706
182048,706
182049,706
182050,706
182055,706
182056,706
182058,706
182062,706
182063,706
182064,706
182065,706
182066,706
182069,706
182075,706
182079,706
182088,706
182089,706
182090,706
182091,706
183045,710
183046,710
183047,710
183054,710
183055,710
183056,710
183057,710
183058,710
