Index,Match
61958,240
61963,240
61965,240
61966,240
61967,240
61973,240
61975,240
61978,240
61985,240
61986,240
67148,260
67149,260
67151,260
67152,260
67154,260
67155,260
67157,260
67158,260
67159,260
67161,260
67162,260
67164,260
67165,260
67168,260
67169,260
67170,260
67176,260
67177,260
67178,260
67180,260
67184,260
67188,260
67192,260
67973,264
69128,268
69129,268
69130,268
69134,268
69135,268
69136,268
69138,268
69140,268
69144,268
69145,268
69146,268
69147,268
69149,268
69150,268
69153,268
69156,268
69475,270
69476,270
69477,270
69478,270
69480,270
69482,270
69483,270
69486,270
69487,270
69490,270
69491,270
69492,270
69494,270
69495,270
69496,270
69497,270
69498,270
69499,270
69500,270
69501,270
69502,270
70511,274
70512,274
70516,274
70520,274
70522,274
70524,274
70525,274
70526,274
70528,274
70529,274
70530,274
70531,274
70532,274
70537,274
70538,274
72188,281
72189,281
72190,281
72191,281
72192,281
72197,281
72198,281
72204,281
72205,281
72206,281
72212,281
72213,281
72218,281
72219,281
72220,281
72222,281
72224,281
72884,284
72885,284
98448,382
98449,382
98450,382
98452,382
98453,382
98454,382
98455,382
98457,382
98461,382
98462,382
98463,382
98466,382
98468,382
99368,385
99370,385
99372,385
100303,389
100304,389
100309,389
100310,389
100311,389
100315,389
100316,389
100319,389
100321,389
100322,389
100323,389
101626,394
101630,394
101631,394
103301,400
103302,400
103304,400
111568,433
111570,433
111571,433
111577,433
111579,433
111580,433
111582,433
111584,433
111585,433
111587,433
111591,433
111592,433
111593,433
111596,433
111597,433
111598,433
111599,433
111602,433
111603,433
111604,433
111609,433
111610,433
111611,433
111613,433
111615,433
113506,440
113507,440
113509,440
113510,440
113511,440
113512,440
113517,440
114688,445
114689,445
114690,445
114691,445
114692,445
114693,445
114697,445
114699,445
114701,445
114702,445
114703,445
114704,445
114705,445
114706,445
114707,445
114709,445
114711,445
114713,445
114716,445
114717,445
114719,445
114720,445
114724,445
114725,445
114727,445
114728,445
114730,445
114731,445
114741,445
114744,445
114745,445
114749,445
114751,445
114752,445
116666,452
116667,452
116668,452
116669,452
116670,452
116671,452
116672,452
116673,452
116675,452
116676,452
116679,452
116683,452
116686,452
116688,452
116690,452
116691,452
116692,452
116694,452
117395,455
117397,455
117404,455
117406,455
117407,455
117408,455
117411,455
117412,455
117415,455
117416,455
117417,455
117419,455
117420,455
123569,480
123573,480
123574,480
123576,480
123577,480
123579,480
123581,480
123583,480
123584,480
123585,480
123586,480
123588,480
126778,493
126780,493
126781,493
126782,493
126783,493
126784,493
126788,493
126790,493
126792,493
126793,493
126794,493
126795,493
126796,493
126797,493
126806,493
126807,493
127474,496
127475,496
127476,496
127477,496
127478,496
127481,496
127483,496
127484,496
127485,496
127487,496
127492,496
127494,496
127496,496
127497,496
127498,496
127500,496
127503,496
127506,496
127512,496
127514,496
127515,496
127516,496
127519,496
131300,511
131303,511
131304,511
131305,511
131306,511
131311,511
131312,511
131313,511
131316,511
131317,511
131320,511
131321,511
131323,511
131324,511
131325,511
131332,511
131336,511
131339,511
131343,511
131344,511
131345,511
131348,511
131349,511
131350,511
131351,511
131354,511
131355,511
131356,511
131358,511
131359,511
131360,511
131361,511
131364,511
131367,511
131371,511
131372,511
131374,511
131375,511
131376,511
131378,511
131383,511
132916,517
132917,517
132921,517
132923,517
132925,517
132926,517
132927,517
132928,517
132930,517
133909,521
133910,521
133911,521
133912,521
133915,521
133916,521
133917,521
133919,521
133923,521
133925,521
133928,521
133930,521
133931,521
133932,521
133933,521
133934,521
133935,521
133936,521
133939,521
133940,521
133941,521
133944,521
133947,521
133949,521
133952,521
133953,521
133955,521
133958,521
133960,521
133963,521
133965,521
133966,521
133967,521
133968,521
133971,521
133972,521
133974,521
133976,521
133977,521
133978,521
133979,521
133980,521
133982,521
133984,521
133985,521
133988,521
135270,526
135271,526
135745,528
135746,528
135747,528
135756,528
135763,528
135764,528
135766,528
135767,528
135770,528
135773,528
135779,528
135782,528
135785,528
135789,528
135792,528
135794,528
135796,528
135799,528
135800,528
135801,528
135803,528
135804,528
135806,528
135807,528
135809,528
135810,528
135811,528
135812,528
135814,528
135815,528
135817,528
135820,528
135822,528
135824,528
135826,528
135839,528
135840,528
135843,528
135845,528
135847,528
135848,528
135849,528
135850,528
135851,528
135859,528
136912,532
136913,532
136915,532
136920,532
136922,532
136924,532
136928,532
136929,532
136931,532
136934,532
136935,532
136936,532
136939,532
136941,532
136943,532
136944,532
136945,532
136946,532
136947,532
136948,532
136949,532
136950,532
136951,532
136952,532
136955,532
136956,532
136957,532
136960,532
136961,532
136962,532
136966,532
136967,532
136972,532
136973,532
136975,532
136979,532
136980,532
136981,532
136983,532
136988,532
136991,532
136993,532
136994,532
136995,532
136997,532
137000,532
137003,532
137004,532
137005,532
137007,532
137008,532
137009,532
137010,532
137013,532
137014,532
137935,536
137936,536
137938,536
137940,536
137941,536
137942,536
137943,536
137948,536
137949,536
137950,536
137951,536
137952,536
137955,536
137956,536
137957,536
137959,536
137960,536
137961,536
137967,536
137968,536
137969,536
137971,536
137972,536
137974,536
137975,536
138777,539
138778,539
138779,539
138781,539
138786,539
138787,539
138792,539
138797,539
138798,539
138800,539
138801,539
138802,539
138804,539
138805,539
138809,539
140480,546
140482,546
140483,546
140484,546
140489,546
140490,546
140493,546
140494,546
140496,546
140498,546
140500,546
140501,546
140502,546
140504,546
140507,546
140508,546
140512,546
140514,546
140515,546
140516,546
140518,546
140519,546
140520,546
140521,546
140523,546
140525,546
140527,546
140528,546
140529,546
140530,546
140532,546
140535,546
140538,546
140540,546
