Index,Match
1667,7
1668,7
1669,7
1672,7
1673,7
1675,7
1676,7
1677,7
3471,14
4659,18
4660,18
4664,18
4666,18
4667,18
6865,27
6866,27
6867,27
6868,27
6869,27
6870,27
6871,27
6872,27
6873,27
6876,27
6877,27
6880,27
6881,27
6883,27
6884,27
6885,27
6886,27
6889,27
6892,27
6893,27
6894,27
9222,36
9224,36
9225,36
10137,40
10138,40
10140,40
12302,48
12303,48
12304,48
12307,48
12310,48
12311,48
15693,62
15694,62
15695,62
15696,62
15703,62
17019,67
17023,67
17819,70
18562,73
18563,73
18564,73
18566,73
18568,73
18570,73
18573,73
18574,73
18577,73
18582,73
18583,73
