Index,Match
19,1
20,1
21,1
22,1
23,1
27,1
28,1
29,1
30,1
1447,6
1448,6
1450,6
1453,6
1454,6
1458,6
1461,6
1462,6
1463,6
1464,6
1471,6
1472,6
1473,6
1474,6
1475,6
1476,6
1479,6
1491,6
1492,6
1493,6
1494,6
1498,6
1500,6
1501,6
1502,6
1503,6
1504,6
1505,6
1506,6
1507,6
1511,6
1515,6
1516,6
1517,6
1518,6
1521,6
1522,6
1523,6
1525,6
1527,6
1528,6
1530,6
1531,6
1532,6
1535,6
1537,6
1542,6
2320,10
2321,10
2325,10
2326,10
2327,10
2328,10
2329,10
2330,10
2331,10
2332,10
2335,10
2336,10
2337,10
2339,10
2340,10
2341,10
2342,10
2345,10
2347,10
2348,10
2350,10
2351,10
2357,10
2360,10
2361,10
2363,10
2364,10
2366,10
2367,10
2368,10
2372,10
2373,10
2376,10
2377,10
3473,14
3474,14
3475,14
3476,14
3479,14
3491,14
3496,14
3497,14
3500,14
3501,14
3503,14
3505,14
3506,14
3507,14
3508,14
3509,14
3510,14
3511,14
3512,14
3514,14
3516,14
3517,14
3518,14
3519,14
3520,14
3521,14
3522,14
3523,14
3525,14
3528,14
3532,14
4691,19
4692,19
4693,19
4694,19
4696,19
4697,19
4699,19
4702,19
4703,19
4704,19
4709,19
4712,19
4713,19
4714,19
4715,19
4718,19
4719,19
4723,19
4730,19
4732,19
4733,19
4740,19
4741,19
4742,19
4745,19
4746,19
4751,19
4756,19
4757,19
4758,19
4760,19
4761,19
4766,19
4769,19
4770,19
4771,19
4772,19
4773,19
4775,19
4779,19
4780,19
4783,19
4786,19
4789,19
4790,19
4791,19
4792,19
4793,19
4794,19
4796,19
4798,19
4805,19
4806,19
4808,19
4809,19
4813,19
4814,19
5229,21
5232,21
5233,21
5235,21
5236,21
5239,21
5240,21
6263,25
6268,25
6269,25
6270,25
6274,25
6275,25
6276,25
6277,25
6280,25
6285,25
6287,25
6289,25
6294,25
6297,25
6298,25
6299,25
6300,25
6303,25
6306,25
6307,25
6308,25
6312,25
6314,25
6315,25
6316,25
6324,25
6325,25
6327,25
6329,25
6331,25
6332,25
6335,25
6337,25
