Index,Match
67049,260
67051,260
67052,260
67054,260
67057,260
67061,260
67063,260
69284,269
69285,269
69289,269
69290,269
69292,269
69296,269
69297,269
69300,269
70079,272
70080,272
70081,272
70082,272
70083,272
70088,272
70095,272
71714,278
71716,278
71718,278
71719,278
71720,278
72504,282
72505,282
72507,282
72508,282
72509,282
72510,282
72511,282
72513,282
72514,282
72515,282
72516,282
72517,282
72518,282
72519,282
72520,282
72526,282
72527,282
72530,282
72535,282
72539,282
72541,282
72543,282
72544,282
72547,282
72548,282
72553,282
72554,282
75483,294
75484,294
75485,294
75491,294
75493,294
75496,294
75498,294
75499,294
75500,294
75501,294
75502,294
75503,294
75506,294
75508,294
75509,294
75510,294
75512,294
75513,294
75514,294
75515,294
75517,294
75521,294
75522,294
75523,294
75525,294
75526,294
75527,294
75528,294
75531,294
75535,294
75536,294
77854,304
77855,304
77858,304
77859,304
77860,304
78927,308
78931,308
78932,308
78933,308
78938,308
78941,308
78943,308
78949,308
78950,308
83965,327
83967,327
83971,327
83979,327
86047,335
86048,335
86050,335
86870,338
86871,338
86872,338
86873,338
86878,338
86880,338
86882,338
86884,338
86886,338
86888,338
86890,338
86894,338
86899,338
86900,338
86902,338
86905,338
86907,338
86908,338
86912,338
86917,338
86922,338
86923,338
86924,338
86934,338
86935,338
86936,338
86937,338
86938,338
86939,338
86940,338
86941,338
86942,338
86943,338
86947,338
86948,338
88529,344
88530,344
88531,344
88532,344
88536,344
88537,344
88538,344
88541,344
88543,344
88545,344
88546,344
88547,344
88552,344
88557,344
88558,344
107271,416
107273,416
107274,416
107275,416
107276,416
107277,416
107279,416
107280,416
107282,416
107284,416
107288,416
107293,416
107294,416
107295,416
107298,416
107302,416
107303,416
107305,416
107306,416
107307,416
108389,420
108390,420
108391,420
108395,420
108397,420
108398,420
108399,420
108400,420
108404,420
108406,420
110656,429
110659,429
110660,429
110666,429
110667,429
110668,429
110671,429
113555,440
113556,440
113563,440
113566,440
114757,445
114761,445
114766,445
114768,445
114771,445
117425,455
117427,455
117428,455
117431,455
117433,455
117435,455
117437,455
117439,455
117441,455
117442,455
117444,455
117447,455
117449,455
117450,455
117451,455
117453,455
117455,455
117456,455
117457,455
117460,455
117462,455
117463,455
118299,459
118300,459
118302,459
118304,459
118305,459
118307,459
118310,459
118311,459
118312,459
120055,466
120057,466
120058,466
120059,466
120060,466
120061,466
120062,466
120063,466
120065,466
120066,466
120068,466
120069,466
120070,466
120072,466
120073,466
120074,466
120078,466
120081,466
120083,466
120084,466
120085,466
120086,466
120089,466
120090,466
120093,466
120094,466
120095,466
120097,466
123467,480
123468,480
123469,480
123470,480
123472,480
123478,480
123481,480
123482,480
123484,480
123485,480
123489,480
123493,480
123494,480
123495,480
123496,480
123497,480
123503,480
123505,480
123506,480
123507,480
123513,480
123515,480
123516,480
123517,480
123519,480
123521,480
123525,480
123527,480
123528,480
123531,480
123532,480
123533,480
123534,480
123536,480
123538,480
123539,480
123542,480
123543,480
123544,480
123545,480
123547,480
123548,480
126824,493
126825,493
127508,496
127509,496
145281,564
145282,564
145284,564
145287,564
148746,577
148747,577
148748,577
148751,577
148753,577
148755,577
148757,577
148759,577
148761,577
148762,577
148767,577
148770,577
148772,577
148776,577
