Index,Match
61885,240
61886,240
61888,240
61890,240
61891,240
61895,240
61897,240
61898,240
61902,240
61904,240
61905,240
61909,240
62964,244
62965,244
62969,244
62970,244
62971,244
62972,244
62980,244
62981,244
62982,244
62987,244
62988,244
62989,244
62990,244
62991,244
62992,244
62993,244
63001,244
63002,244
63003,244
63004,244
63005,244
63007,244
63008,244
63009,244
63013,244
63020,244
63021,244
63022,244
63024,244
63028,244
63030,244
63033,244
63035,244
63038,244
63042,244
63043,244
63045,244
63047,244
63049,244
63051,244
63052,244
63053,244
63055,244
63058,244
63059,244
64664,251
64673,251
65671,255
65672,255
65673,255
65676,255
65684,255
65686,255
65689,255
65690,255
65691,255
65694,255
65695,255
65696,255
65697,255
65699,255
65700,255
65702,255
65703,255
65705,255
65708,255
65709,255
66590,258
66591,258
66596,258
66597,258
66599,258
66600,258
66603,258
66606,258
66608,258
66610,258
66611,258
66614,258
66615,258
66618,258
66621,258
66622,258
66625,258
66626,258
66629,258
66631,258
66635,258
66636,258
66637,258
66645,258
66648,258
66649,258
66651,258
66652,258
66653,258
66655,258
66657,258
66658,258
67372,261
67373,261
67374,261
67375,261
67376,261
67378,261
67380,261
67381,261
67383,261
67386,261
67387,261
67388,261
67389,261
67390,261
67391,261
67393,261
67395,261
67396,261
67397,261
67400,261
67401,261
67404,261
67406,261
67407,261
67408,261
67409,261
67414,261
67415,261
67416,261
67417,261
67418,261
67421,261
67424,261
67431,261
67432,261
67433,261
67434,261
67435,261
67436,261
67439,261
67445,261
67446,261
67449,261
67450,261
67451,261
67452,261
67453,261
68998,268
69002,268
69003,268
69004,268
69008,268
69009,268
69017,268
69020,268
69023,268
69026,268
69027,268
69028,268
70003,272
70004,272
70005,272
70006,272
70008,272
70011,272
70014,272
70019,272
70025,272
70027,272
70029,272
70030,272
70031,272
70034,272
70035,272
70039,272
70042,272
70043,272
70044,272
70045,272
70046,272
70047,272
70048,272
70049,272
70050,272
70052,272
70054,272
70055,272
70058,272
70763,275
70764,275
70766,275
70769,275
70772,275
70776,275
70778,275
70780,275
70781,275
70782,275
70785,275
70787,275
70788,275
70793,275
70797,275
70800,275
70803,275
70805,275
70807,275
70810,275
70813,275
70814,275
70821,275
70823,275
70825,275
70827,275
70829,275
70830,275
70834,275
70835,275
70837,275
70838,275
71766,279
71767,279
71768,279
71769,279
71771,279
71772,279
71773,279
71774,279
71775,279
72691,283
73084,285
73085,285
73092,285
73093,285
73095,285
73096,285
73097,285
73099,285
73100,285
73101,285
73107,285
73110,285
73111,285
73113,285
73114,285
75041,292
75043,292
75046,292
75048,292
75049,292
75053,292
75054,292
75055,292
75057,292
75058,292
75059,292
86218,336
86220,336
86221,336
86225,336
86226,336
86227,336
86231,336
86233,336
86234,336
86235,336
86236,336
86240,336
86243,336
86248,336
86249,336
86250,336
86251,336
86252,336
86254,336
86255,336
86258,336
86259,336
86262,336
86264,336
86266,336
86268,336
86270,336
86272,336
88143,343
88145,343
88146,343
88149,343
88150,343
88151,343
88152,343
88154,343
88161,343
88162,343
88164,343
88165,343
88166,343
88167,343
88168,343
