Index,Match
107824,418
107825,418
107826,418
107827,418
107830,418
107831,418
108828,422
108829,422
108830,422
108831,422
108832,422
108833,422
108834,422
108839,422
108840,422
108841,422
108842,422
108843,422
108844,422
108845,422
108847,422
108853,422
108854,422
110017,427
110018,427
110022,427
110023,427
110024,427
110030,427
110031,427
110033,427
110034,427
110035,427
110039,427
110042,427
110043,427
110047,427
110056,427
110057,427
110062,427
110063,427
110064,427
110066,427
110068,427
110069,427
113350,440
113353,440
113354,440
113355,440
113360,440
113361,440
113364,440
113365,440
113366,440
113367,440
113368,440
113369,440
113371,440
113372,440
113373,440
113374,440
113377,440
113378,440
113379,440
113380,440
115166,447
115169,447
115170,447
115171,447
115172,447
115173,447
115174,447
115175,447
115176,447
115177,447
115179,447
115180,447
115182,447
115183,447
115184,447
115185,447
116726,453
116730,453
116731,453
116732,453
116733,453
116734,453
116735,453
116736,453
116737,453
116740,453
130253,507
130254,507
130255,507
130256,507
130257,507
130258,507
130259,507
130260,507
130261,507
130262,507
