Index,Match
15849,63
15850,63
15851,63
15852,63
15853,63
16364,65
16365,65
16366,65
17577,70
17578,70
17579,70
17580,70
17585,70
17586,70
17588,70
17590,70
17595,70
17596,70
17601,70
17605,70
17606,70
17608,70
17611,70
17612,70
17617,70
17618,70
18621,74
18622,74
18623,74
18627,74
18628,74
18630,74
18631,74
18632,74
18635,74
18636,74
18637,74
18643,74
18644,74
18645,74
18648,74
18649,74
18650,74
18653,74
18654,74
18657,74
18658,74
18659,74
18663,74
18664,74
18667,74
18672,74
18673,74
18675,74
18676,74
18678,74
18679,74
18681,74
18682,74
18683,74
18684,74
18686,74
18687,74
18689,74
18690,74
18691,74
18693,74
18695,74
18696,74
23186,91
23188,91
23193,91
23194,91
23198,91
23207,91
23210,91
23214,91
23215,91
23216,91
23217,91
23220,91
23223,91
23225,91
23228,91
23230,91
23233,91
23234,91
23236,91
23239,91
23240,91
23242,91
23243,91
23244,91
23245,91
24584,97
24585,97
27081,106
27082,106
27083,106
27084,106
27085,106
27086,106
