Index,Match
1429,6
1432,6
15955,63
15962,63
15963,63
15969,63
18730,74
18732,74
18735,74
31557,123
31558,123
31559,123
46930,183
46932,183
64329,249
64330,249
64331,249
64332,249
64334,249
64335,249
64336,249
64337,249
64338,249
64343,249
64344,249
64346,249
64347,249
64348,249
64349,249
64350,249
64352,249
84087,327
84089,327
84090,327
84093,327
84094,327
84096,327
84098,327
84099,327
84101,327
84729,330
84730,330
84732,330
84733,330
87490,340
87491,340
87492,340
87493,340
87494,340
120495,467
120500,467
120506,467
120507,467
144095,559
144098,559
144100,559
144101,559
144104,559
166881,647
166883,647
166884,647
166887,647
166888,647
166891,647
166892,647
166893,647
166896,647
166898,647
166899,647
166901,647
166904,647
166907,647
166909,647
166911,647
166912,647
166913,647
166914,647
172083,667
172084,667
172088,667
172089,667
172090,667
172091,667
172092,667
172095,667
185758,720
185759,720
194109,754
194110,754
194111,754
194112,754
194113,754
194114,754
194116,754
194118,754
194119,754
194121,754
196903,765
196907,765
196908,765
201818,784
201819,784
201820,784
201821,784
205939,800
205942,800
205943,800
209033,813
209034,813
209036,813
209040,813
209560,815
209562,815
