Index,Match
902,4
903,4
905,4
908,4
912,4
913,4
914,4
915,4
4258,17
4260,17
4261,17
7102,28
7103,28
7104,28
7106,28
7107,28
7108,28
7110,28
7111,28
7371,29
7374,29
7376,29
7377,29
7378,29
7381,29
7383,29
7385,29
9735,38
9737,38
9741,38
9742,38
9743,38
9749,38
9754,38
9756,38
10256,40
10257,40
10258,40
10261,40
10262,40
10263,40
10264,40
10265,40
10268,40
10274,40
10905,43
10906,43
13104,51
13106,51
13107,51
15037,59
15038,59
15421,61
15423,61
15425,61
15427,61
15432,61
15435,61
15436,61
15438,61
15440,61
15441,61
15442,61
15444,61
15448,61
20599,81
20600,81
20601,81
20602,81
20605,81
20606,81
20610,81
20611,81
20615,81
20616,81
20619,81
24154,95
24155,95
24156,95
24157,95
24159,95
24160,95
24162,95
24165,95
24170,95
107255,416
107256,416
107259,416
107261,416
107264,416
107269,416
107272,416
107278,416
107281,416
107283,416
107285,416
107286,416
107287,416
107289,416
107290,416
107291,416
107292,416
107296,416
107297,416
108379,420
108380,420
108383,420
108384,420
108386,420
108388,420
108392,420
108393,420
108394,420
108396,420
108401,420
108402,420
108403,420
109609,425
110641,429
110643,429
110647,429
110648,429
110649,429
110650,429
110653,429
110654,429
110657,429
110658,429
110661,429
110662,429
110663,429
110664,429
111586,433
111588,433
111589,433
111590,433
111594,433
111595,433
111600,433
111601,433
111605,433
111606,433
111607,433
113532,440
113535,440
113537,440
113538,440
113540,440
113542,440
113545,440
113546,440
113547,440
113548,440
113549,440
113550,440
113553,440
113557,440
113558,440
113559,440
113560,440
113561,440
114754,445
114755,445
114756,445
114758,445
114759,445
114760,445
114762,445
114763,445
114764,445
114765,445
114767,445
114769,445
116697,452
117421,455
117422,455
117424,455
118369,459
118372,459
118373,459
118374,459
118375,459
118381,459
118385,459
118387,459
118388,459
118392,459
118394,459
118395,459
118398,459
118402,459
118407,459
118408,459
118409,459
118411,459
118413,459
118414,459
118416,459
118419,459
118420,459
120120,466
120122,466
120126,466
120127,466
120129,466
120133,466
120134,466
120136,466
120137,466
120138,466
120139,466
121555,472
121556,472
121557,472
121559,472
121562,472
121563,472
121564,472
121565,472
121568,472
121569,472
121572,472
121574,472
121575,472
121577,472
121580,472
121581,472
121586,472
121587,472
121590,472
121596,472
121597,472
121598,472
121600,472
122429,475
122435,475
122436,475
122437,475
122440,475
122442,475
122447,475
122448,475
122450,475
122451,475
122452,475
122453,475
126809,493
126818,493
126821,493
127423,496
127424,496
127425,496
127430,496
127434,496
127435,496
127436,496
127442,496
127443,496
127445,496
127446,496
127448,496
127451,496
127452,496
127462,496
127463,496
127464,496
127465,496
127466,496
127467,496
127469,496
127472,496
127479,496
127480,496
127482,496
127486,496
127488,496
127489,496
127490,496
127491,496
127493,496
127495,496
127499,496
127501,496
127502,496
127504,496
127505,496
127507,496
129257,503
129258,503
129261,503
129262,503
129263,503
129266,503
129267,503
129269,503
129270,503
129272,503
129274,503
129279,503
129280,503
129281,503
129282,503
129284,503
129288,503
129289,503
129293,503
129294,503
129296,503
129300,503
130555,508
130559,508
130565,508
130568,508
130570,508
130571,508
130577,508
130579,508
130583,508
130585,508
130588,508
130589,508
130590,508
130592,508
130593,508
130594,508
130595,508
130600,508
130601,508
135291,526
135292,526
135293,526
135294,526
135296,526
136976,532
136977,532
136978,532
136982,532
136984,532
136985,532
136986,532
136987,532
136989,532
136990,532
136992,532
136996,532
136998,532
136999,532
137001,532
137002,532
137006,532
137011,532
137012,532
137016,532
137017,532
137018,532
137019,532
137022,532
140541,546
140544,546
140546,546
140547,546
140548,546
140549,546
140550,546
140551,546
140553,546
140556,546
140557,546
144938,563
144939,563
144940,563
144943,563
144944,563
144945,563
144946,563
144950,563
144957,563
144958,563
144959,563
144961,563
144967,563
144971,563
148390,576
148391,576
