Index,Match
3764,15
3765,15
3766,15
3768,15
3769,15
3773,15
3774,15
3775,15
3777,15
3778,15
3780,15
3782,15
3789,15
3790,15
3793,15
3798,15
3800,15
3801,15
3803,15
3804,15
4836,19
4837,19
4838,19
4840,19
4841,19
4842,19
4848,19
4849,19
4854,19
4857,19
4858,19
4859,19
4861,19
4863,19
4864,19
4865,19
4866,19
8153,32
8156,32
8157,32
8159,32
8163,32
8165,32
8168,32
8169,32
8170,32
8171,32
8172,32
8175,32
8176,32
8177,32
8179,32
8183,32
8184,32
8186,32
8187,32
8188,32
8193,32
13678,54
13679,54
13680,54
13683,54
46610,182
46611,182
46612,182
46615,182
46616,182
46617,182
46618,182
46620,182
46621,182
46622,182
46623,182
46625,182
46627,182
46628,182
46629,182
46630,182
46636,182
46639,182
46647,182
46648,182
46651,182
46652,182
46654,182
46661,182
46664,182
46665,182
46666,182
46667,182
46670,182
46672,182
46673,182
46678,182
46681,182
46682,182
47439,185
47440,185
47441,185
47442,185
47445,185
47447,185
47449,185
47450,185
47456,185
48477,189
48478,189
48479,189
48480,189
48481,189
48483,189
48486,189
48488,189
48490,189
48494,189
49260,192
49261,192
49262,192
49264,192
49268,192
49269,192
49270,192
49272,192
49274,192
49275,192
49276,192
49279,192
49280,192
49282,192
49285,192
49287,192
49288,192
49290,192
49293,192
49296,192
49299,192
49300,192
49301,192
49302,192
49303,192
49304,192
49305,192
49306,192
50422,196
50423,196
50424,196
50425,196
50426,196
50427,196
50428,196
50429,196
50431,196
50432,196
50433,196
50437,196
50438,196
50441,196
50442,196
50443,196
50445,196
50450,196
50453,196
50454,196
51359,200
51361,200
51362,200
51364,200
51365,200
51367,200
51368,200
51370,200
51372,200
51374,200
51378,200
51379,200
51380,200
51382,200
51385,200
51391,200
51392,200
51394,200
51395,200
51396,200
51397,200
51398,200
51399,200
52271,203
52272,203
52273,203
52274,203
52276,203
52280,203
52281,203
52283,203
52284,203
52285,203
52287,203
52288,203
52289,203
52295,203
52296,203
52297,203
52298,203
52301,203
52303,203
53439,208
53440,208
53441,208
53445,208
53446,208
53447,208
53450,208
53451,208
53454,208
53455,208
53456,208
53457,208
53460,208
53461,208
53462,208
53464,208
53465,208
53467,208
53468,208
53469,208
53472,208
53476,208
53477,208
53479,208
53482,208
54200,211
54201,211
54208,211
54209,211
54210,211
54211,211
54212,211
54217,211
54218,211
54219,211
54220,211
54221,211
54222,211
54223,211
54225,211
54227,211
54228,211
54229,211
54230,211
54234,211
54235,211
54237,211
54240,211
54242,211
55032,214
55034,214
55035,214
55039,214
55040,214
55041,214
55042,214
55043,214
55044,214
55054,214
55055,214
55057,214
55060,214
55064,214
55067,214
55070,214
55075,214
55078,214
55082,214
55083,214
55088,214
55089,214
55091,214
55094,214
55098,214
55102,214
55103,214
55104,214
55105,214
56087,218
56089,218
56090,218
56091,218
56092,218
56094,218
56097,218
56098,218
56099,218
56102,218
56103,218
56104,218
56106,218
56107,218
56111,218
56114,218
56115,218
56116,218
56117,218
56122,218
56123,218
56128,218
56129,218
56130,218
56131,218
56132,218
56133,218
56135,218
56140,218
56142,218
56145,218
56146,218
56147,218
56151,218
56152,218
56153,218
57656,224
57658,224
57659,224
57660,224
57667,224
57673,224
57678,224
57682,224
57687,224
57688,224
57693,224
57694,224
58816,228
58817,228
58819,228
58820,228
58822,228
58823,228
58825,228
58826,228
58827,228
58828,228
58831,228
58833,228
60112,233
60113,233
60114,233
60117,233
60120,233
60123,233
60124,233
60125,233
60126,233
60129,233
60131,233
60135,233
60139,233
60140,233
60142,233
60144,233
60148,233
60151,233
60153,233
