Index,Match
94363,367
94364,367
94367,367
94370,367
94371,367
94372,367
94373,367
94374,367
94375,367
94376,367
94377,367
94378,367
94379,367
94380,367
94381,367
94382,367
94383,367
94384,367
94387,367
94388,367
94390,367
94391,367
94392,367
94393,367
95979,373
95980,373
95982,373
95989,373
95992,373
95993,373
95994,373
96004,373
96009,373
96010,373
96015,373
96016,373
96018,373
96020,373
96024,373
96025,373
96027,373
96028,373
96031,373
96033,373
96036,373
96037,373
96038,373
96043,373
96045,373
96047,373
96056,373
96061,373
96062,373
96063,373
96066,373
96067,373
96069,373
96070,373
96072,373
96073,373
96074,373
96075,373
96076,373
96077,373
96689,375
96690,375
96691,375
96692,375
96695,375
96697,375
96699,375
96700,375
96706,375
96707,375
96708,375
96709,375
97313,378
97314,378
97315,378
97318,378
97319,378
97320,378
97321,378
97322,378
97324,378
97326,378
97328,378
97330,378
97338,378
97341,378
97344,378
97345,378
97348,378
97350,378
98736,383
98737,383
99612,386
99613,386
99618,386
99621,386
99623,386
99624,386
100461,390
100463,390
100464,390
100465,390
100466,390
100468,390
100469,390
100470,390
100474,390
100475,390
100480,390
100481,390
100484,390
100485,390
100486,390
100487,390
100489,390
100493,390
100496,390
100498,390
100499,390
100500,390
100502,390
100503,390
100504,390
100506,390
100507,390
100508,390
100509,390
102946,399
102947,399
102950,399
102952,399
102953,399
102956,399
102957,399
102960,399
102961,399
102962,399
102964,399
102966,399
102967,399
102971,399
102972,399
102973,399
104978,407
104980,407
104982,407
104983,407
104985,407
104988,407
104989,407
104991,407
104992,407
104993,407
104996,407
104997,407
104998,407
111095,431
111103,431
111104,431
111111,431
122031,474
122032,474
122033,474
122034,474
122035,474
122036,474
122037,474
122038,474
122042,474
122043,474
122044,474
122045,474
122046,474
122047,474
122048,474
