Index,Match
66183,257
66184,257
66186,257
66187,257
66190,257
66199,257
66201,257
66203,257
66204,257
66206,257
66955,260
66956,260
66957,260
66960,260
66962,260
66963,260
66964,260
66965,260
66966,260
66967,260
66968,260
66973,260
66977,260
66978,260
66982,260
66988,260
66990,260
66991,260
66992,260
66994,260
66995,260
66997,260
66999,260
67000,260
67001,260
67002,260
67003,260
67004,260
67007,260
67008,260
67009,260
67010,260
67013,260
67015,260
67023,260
67024,260
68353,265
68354,265
68355,265
68361,265
68363,265
68364,265
68365,265
68366,265
68367,265
68375,265
69195,269
69196,269
69199,269
69200,269
69208,269
69209,269
69211,269
69212,269
69213,269
69218,269
69219,269
69220,269
69226,269
69227,269
69228,269
69229,269
69231,269
69234,269
69236,269
69237,269
70068,272
70069,272
70072,272
70073,272
70074,272
70076,272
70077,272
70078,272
71618,278
71619,278
71620,278
71622,278
71625,278
71626,278
71627,278
71628,278
71630,278
71631,278
71632,278
71633,278
71634,278
71636,278
71639,278
71643,278
71645,278
71646,278
71647,278
71651,278
71652,278
71653,278
71655,278
73824,288
73825,288
73826,288
73828,288
73832,288
73833,288
73834,288
73835,288
73836,288
73837,288
73838,288
73841,288
73845,288
73849,288
73854,288
73855,288
73856,288
73858,288
73861,288
73864,288
73865,288
73866,288
73869,288
73871,288
73872,288
73873,288
73874,288
73875,288
73877,288
73880,288
73881,288
73882,288
73883,288
73884,288
73888,288
74764,291
74765,291
74766,291
74767,291
74768,291
74769,291
74770,291
75422,294
75423,294
75424,294
75425,294
75428,294
75429,294
75430,294
75431,294
75432,294
75433,294
77193,301
77194,301
77195,301
77201,301
77203,301
77204,301
77207,301
77214,301
77220,301
77221,301
77231,301
77233,301
77234,301
77236,301
77238,301
77241,301
77247,301
77248,301
77251,301
77252,301
77258,301
77259,301
77260,301
77261,301
77263,301
77266,301
77269,301
77746,304
77752,304
77753,304
77755,304
77756,304
77761,304
77762,304
78832,308
78833,308
78834,308
78835,308
78838,308
78839,308
78840,308
78843,308
78844,308
78847,308
78848,308
78853,308
78854,308
78855,308
78856,308
78857,308
78858,308
78859,308
78860,308
78863,308
78864,308
78867,308
78868,308
78871,308
78875,308
78876,308
78877,308
78881,308
78887,308
78889,308
78890,308
78892,308
78895,308
78896,308
78900,308
78904,308
78905,308
78909,308
78911,308
78913,308
78914,308
78915,308
78916,308
78918,308
78921,308
78923,308
79772,311
79774,311
79775,311
79776,311
79777,311
79778,311
79779,311
79787,311
79788,311
79792,311
79794,311
79795,311
79796,311
79799,311
79800,311
79801,311
79804,311
79805,311
79807,311
79809,311
79810,311
79812,311
79817,311
79820,311
79821,311
79823,311
79825,311
79826,311
79827,311
79831,311
79832,311
79835,311
79836,311
79837,311
79839,311
79840,311
79843,311
79844,311
79846,311
79848,311
79853,311
79856,311
79857,311
79858,311
79860,311
79867,311
79868,311
79870,311
79874,311
79875,311
79876,311
79877,311
79881,311
79882,311
79884,311
79885,311
79886,311
80959,316
80967,316
80968,316
80969,316
82024,320
