Index,Match
383,2
384,2
387,2
389,2
392,2
393,2
396,2
397,2
399,2
402,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
1795,7
1798,7
1800,7
1804,7
1810,7
1811,7
1812,7
1813,7
1814,7
1815,7
1816,7
2546,10
2547,10
2550,10
3063,12
3067,12
3068,12
3069,12
3070,12
4127,16
4128,16
4130,16
4131,16
5708,22
5713,22
5714,22
5715,22
6073,24
6074,24
6078,24
6081,24
6085,24
6090,24
6092,24
6093,24
6094,24
6095,24
6097,24
6100,24
6101,24
6103,24
6104,24
6105,24
6106,24
6107,24
6108,24
6110,24
6111,24
6112,24
6114,24
7217,28
7219,28
7220,28
7221,28
7225,28
7226,28
7227,28
7229,28
7230,28
7232,28
7234,28
7235,28
8749,34
8752,34
8753,34
8756,34
8759,34
9472,37
9475,37
9477,37
9478,37
9479,37
9480,37
9482,37
9485,37
9489,37
9491,37
11173,44
11177,44
11181,44
11183,44
11184,44
11186,44
11188,44
11189,44
11191,44
11193,44
11194,44
11197,44
11198,44
11199,44
11200,44
11201,44
11202,44
11850,47
11851,47
11852,47
11853,47
11855,47
11856,47
11857,47
11860,47
11861,47
11864,47
11866,47
11867,47
11868,47
11870,47
11871,47
11872,47
11873,47
11875,47
11877,47
11878,47
11880,47
11881,47
11883,47
11889,47
11894,47
12804,50
12805,50
12806,50
12807,50
12808,50
12812,50
12813,50
12814,50
12816,50
12821,50
12822,50
12823,50
12824,50
12825,50
13504,53
13509,53
13510,53
14292,56
14296,56
14298,56
14299,56
14300,56
14302,56
14304,56
14305,56
14307,56
14309,56
14863,59
14864,59
14865,59
14867,59
14868,59
14869,59
14871,59
14872,59
14873,59
15135,60
15137,60
15138,60
15139,60
15141,60
15142,60
15143,60
15144,60
15145,60
15146,60
15150,60
15153,60
15158,60
15163,60
15165,60
15169,60
15175,60
15178,60
15179,60
15180,60
17158,68
17161,68
17166,68
18463,73
18464,73
18465,73
18466,73
18475,73
20268,80
20269,80
20890,82
20891,82
20893,82
20894,82
20896,82
20897,82
20898,82
20901,82
20904,82
20905,82
20907,82
20908,82
20909,82
20910,82
20911,82
20912,82
20914,82
20915,82
20916,82
21966,86
21968,86
21969,86
21974,86
21975,86
21977,86
21983,86
21986,86
22975,90
22978,90
22979,90
22981,90
22982,90
22983,90
22984,90
22986,90
22987,90
22989,90
22990,90
22991,90
22992,90
22993,90
22997,90
22998,90
22999,90
23001,90
23002,90
23005,90
23006,90
23008,90
23009,90
23010,90
23012,90
23013,90
23014,90
23015,90
23018,90
23019,90
23021,90
23022,90
23028,90
23029,90
23030,90
23032,90
23033,90
23035,90
23037,90
23039,90
23041,90
23045,90
23047,90
23048,90
23050,90
23733,93
