Index,Match
25675,101
25678,101
25680,101
25683,101
25685,101
25687,101
25688,101
25691,101
25692,101
25696,101
25698,101
25699,101
25700,101
25703,101
25704,101
25706,101
25707,101
28250,111
28252,111
28253,111
28258,111
28259,111
28263,111
28266,111
28267,111
28269,111
28274,111
28276,111
28277,111
28278,111
28279,111
28282,111
28283,111
33956,132
33957,132
33958,132
48219,188
48220,188
48221,188
48223,188
48224,188
48232,188
48235,188
48236,188
48241,188
48242,188
48245,188
48246,188
48250,188
48255,188
48258,188
57420,223
57421,223
57422,223
57425,223
57429,223
57430,223
57431,223
57432,223
57433,223
57434,223
126466,492
127872,497
127873,497
127875,497
127876,497
127877,497
127878,497
127879,497
127881,497
127890,497
127894,497
127896,497
143291,556
143294,556
143295,556
143297,556
143299,556
170504,661
170505,661
171294,664
171295,664
172348,668
172350,668
172351,668
181148,702
181149,702
181153,702
181154,702
181833,705
181834,705
181835,705
185324,718
187278,726
187279,726
189260,734
194256,755
194259,755
194262,755
