Index,Match
4928,19
4931,19
4932,19
4937,19
4938,19
4939,19
8233,32
8234,32
13742,54
13743,54
13748,54
13749,54
13750,54
45643,178
45644,178
45645,178
64744,251
64750,251
64753,251
66668,258
71834,279
71835,279
71836,279
71837,279
71838,279
73163,285
75123,292
77172,301
77173,301
77175,301
77176,301
77177,301
77179,301
77182,301
77183,301
77187,301
78530,306
80116,312
80120,312
80125,312
93315,362
93319,362
93324,362
93327,362
93330,362
93331,362
93334,362
93336,362
93337,362
93339,362
93340,362
93341,362
93343,362
93344,362
93345,362
102417,397
102418,397
107311,416
108423,420
113590,440
113591,440
116702,452
