Index,Match
14520,57
14521,57
14525,57
14532,57
14536,57
14541,57
14543,57
14545,57
14598,58
14599,58
14600,58
14601,58
14604,58
14608,58
14609,58
14612,58
14614,58
14615,58
14616,58
14617,58
14619,58
14620,58
14621,58
14622,58
14623,58
14625,58
14629,58
14631,58
14632,58
14633,58
14637,58
14641,58
14644,58
14645,58
14647,58
14649,58
14651,58
14653,58
14654,58
14655,58
107193,416
107194,416
107195,416
107198,416
107199,416
107200,416
107202,416
107203,416
107206,416
107208,416
107209,416
107212,416
107213,416
107215,416
107221,416
107228,416
107229,416
107230,416
107233,416
107234,416
107237,416
107243,416
107245,416
107246,416
107247,416
107249,416
107250,416
107251,416
107253,416
108304,420
108305,420
108306,420
108307,420
108313,420
108314,420
108315,420
108316,420
108317,420
132941,517
132942,517
132943,517
132944,517
132945,517
132948,517
132951,517
133990,521
133991,521
133995,521
133996,521
133998,521
133999,521
134002,521
134004,521
135255,526
135258,526
135259,526
135261,526
135262,526
135263,526
135265,526
