Index,Match
87367,340
87369,340
87370,340
88735,345
88736,345
88737,345
88739,345
88740,345
88741,345
88742,345
88746,345
88747,345
88757,345
88762,345
88764,345
88766,345
88767,345
88768,345
88769,345
88770,345
88771,345
88774,345
88776,345
88779,345
88780,345
88781,345
88784,345
88787,345
88790,345
88792,345
88798,345
88799,345
88801,345
88806,345
88814,345
88815,345
89417,348
89418,348
89419,348
89426,348
89427,348
89428,348
107349,416
107350,416
107353,416
107355,416
107356,416
107358,416
107359,416
107361,416
107362,416
107363,416
107366,416
107368,416
107373,416
107374,416
107375,416
107377,416
107378,416
107380,416
107381,416
107382,416
107383,416
107385,416
107389,416
107390,416
107393,416
107394,416
107395,416
107396,416
107399,416
107400,416
107401,416
107402,416
107405,416
107409,416
107411,416
107413,416
107414,416
107415,416
107416,416
107419,416
107420,416
107422,416
107424,416
107425,416
107426,416
107427,416
107428,416
108597,421
108598,421
108599,421
108600,421
108601,421
108605,421
108606,421
108609,421
108620,421
108622,421
108627,421
108630,421
108631,421
108639,421
108644,421
108647,421
108649,421
108652,421
108655,421
108657,421
108660,421
108662,421
108666,421
108667,421
108671,421
108672,421
108673,421
108675,421
108678,421
108679,421
108680,421
108681,421
109862,426
109863,426
109864,426
109867,426
109868,426
109869,426
109870,426
109872,426
109873,426
109876,426
109880,426
109882,426
113803,441
113804,441
113806,441
113810,441
113817,441
113818,441
113823,441
115320,447
115326,447
115327,447
115329,447
115330,447
115331,447
115334,447
115335,447
115336,447
115337,447
115338,447
115339,447
115340,447
115341,447
115342,447
115344,447
115345,447
115346,447
115350,447
115351,447
115356,447
115357,447
115362,447
115365,447
115366,447
115367,447
115369,447
115377,447
115378,447
115379,447
115380,447
115381,447
115385,447
115389,447
115390,447
115391,447
115392,447
115393,447
115394,447
116347,451
116348,451
116349,451
116350,451
116352,451
116354,451
116359,451
116360,451
116361,451
116362,451
116368,451
116370,451
116372,451
116373,451
116376,451
116377,451
116378,451
116381,451
117579,456
117583,456
117584,456
117585,456
117588,456
117589,456
119973,465
119979,465
119980,465
119983,465
119986,465
119987,465
119988,465
119989,465
119995,465
119997,465
119998,465
120001,465
120007,465
120009,465
120014,465
120015,465
120017,465
120028,465
120590,468
120591,468
120592,468
120593,468
120596,468
120597,468
120600,468
120601,468
120602,468
120603,468
120607,468
120611,468
120612,468
120614,468
120616,468
120617,468
120620,468
120621,468
120624,468
120626,468
120630,468
128360,499
128361,499
128362,499
129047,502
129048,502
129049,502
129050,502
129052,502
129054,502
129055,502
130709,508
130711,508
130713,508
130714,508
130719,508
130721,508
130723,508
130724,508
130725,508
137418,534
137420,534
137422,534
137423,534
137427,534
137428,534
137436,534
137441,534
139207,541
139212,541
139213,541
139215,541
139216,541
139217,541
139218,541
139219,541
139221,541
139222,541
139224,541
139225,541
139230,541
139231,541
139236,541
139240,541
139243,541
139244,541
139245,541
139247,541
139248,541
140290,545
140291,545
140292,545
142381,553
142382,553
142384,553
142386,553
144714,562
144715,562
144716,562
144717,562
144718,562
144721,562
145664,565
145665,565
145667,565
147783,574
147784,574
147787,574
147788,574
147789,574
147790,574
147795,574
147796,574
147799,574
147800,574
147802,574
147806,574
147807,574
147808,574
156772,608
156773,608
156774,608
156775,608
156776,608
156780,608
156781,608
160620,623
160622,623
161436,626
161437,626
161441,626
161442,626
161443,626
161444,626
161445,626
161446,626
161451,626
161452,626
161455,626
161456,626
161457,626
161458,626
161465,626
161466,626
161469,626
161471,626
161472,626
161473,626
187008,725
187009,725
187010,725
187011,725
187012,725
189392,735
189393,735
189396,735
189398,735
189401,735
189402,735
190803,740
190808,740
190810,740
190814,740
