Index,Match
76699,299
76700,299
77861,304
78563,307
78564,307
78565,307
78566,307
78567,307
78568,307
78575,307
78576,307
78577,307
78578,307
78579,307
78580,307
78583,307
78584,307
78585,307
78588,307
78589,307
78590,307
78591,307
78592,307
78595,307
81756,319
81757,319
81758,319
81759,319
81760,319
86316,336
86323,336
86324,336
86327,336
86328,336
86334,336
86335,336
86336,336
86343,336
86348,336
86349,336
86351,336
86352,336
86356,336
86357,336
86360,336
86361,336
86374,336
86376,336
86377,336
108090,419
108091,419
108096,419
108097,419
108098,419
108099,419
108101,419
108105,419
108106,419
108107,419
108114,419
108115,419
108116,419
108121,419
108126,419
108127,419
108128,419
109342,424
109343,424
109344,424
109345,424
109346,424
109347,424
109359,424
109362,424
109365,424
109366,424
109367,424
110805,430
110806,430
110807,430
110808,430
110809,430
110810,430
110816,430
110823,430
110826,430
110827,430
110829,430
110830,430
110831,430
110832,430
110836,430
110837,430
110838,430
110839,430
110852,430
110855,430
110860,430
110862,430
110863,430
110864,430
110865,430
110866,430
110867,430
111758,434
111759,434
111760,434
111761,434
111762,434
111763,434
111764,434
111765,434
111766,434
111767,434
111772,434
111773,434
111774,434
111777,434
111778,434
111779,434
113967,442
113973,442
113975,442
113976,442
113977,442
113978,442
113979,442
113985,442
113986,442
113989,442
113990,442
114381,444
114384,444
114385,444
114386,444
114389,444
114390,444
114391,444
114393,444
114394,444
114395,444
114396,444
114397,444
114400,444
115541,448
115544,448
115553,448
115554,448
115555,448
115556,448
115557,448
115558,448
115559,448
115560,448
115565,448
115567,448
115569,448
115572,448
115576,448
115577,448
115578,448
115579,448
115584,448
115587,448
115590,448
115592,448
115593,448
115595,448
115597,448
115598,448
115603,448
115604,448
115606,448
115607,448
115608,448
115609,448
115610,448
115613,448
116198,451
116199,451
116200,451
116201,451
116207,451
116208,451
116210,451
116211,451
116212,451
116213,451
116214,451
116215,451
117885,457
119657,464
119658,464
119659,464
119660,464
119661,464
119662,464
119671,464
119673,464
119674,464
119675,464
119676,464
119677,464
119678,464
119679,464
119680,464
119683,464
119685,464
119686,464
120173,466
120174,466
120175,466
120176,466
120177,466
120178,466
120179,466
120183,466
120184,466
120185,466
120190,466
120192,466
120194,466
120195,466
120196,466
120197,466
120202,466
120203,466
120209,466
120211,466
120214,466
122212,475
122213,475
122216,475
122217,475
122220,475
122221,475
122222,475
122223,475
122224,475
122230,475
122231,475
122232,475
122233,475
122235,475
122996,478
122997,478
122998,478
122999,478
123002,478
123003,478
127130,495
127144,495
127145,495
127147,495
127148,495
127150,495
127154,495
127156,495
127157,495
128689,501
128690,501
128691,501
128692,501
128695,501
128696,501
128697,501
128698,501
128700,501
128701,501
128702,501
128703,501
129592,504
129593,504
129594,504
129595,504
129599,504
129602,504
129603,504
129604,504
129605,504
129606,504
129607,504
129610,504
129611,504
129612,504
129616,504
129617,504
129619,504
129624,504
129625,504
129626,504
129627,504
129629,504
129631,504
129632,504
129633,504
129638,504
129640,504
129641,504
129645,504
129647,504
129649,504
129656,504
129658,504
129659,504
129662,504
129663,504
129664,504
129665,504
129669,504
129672,504
129673,504
129676,504
129677,504
129679,504
129680,504
129681,504
129684,504
129685,504
129686,504
129687,504
129690,504
129692,504
129693,504
129695,504
129700,504
129704,504
130759,509
130762,509
130763,509
130768,509
130769,509
130770,509
130771,509
130773,509
130774,509
130780,509
130782,509
130783,509
130784,509
130785,509
130786,509
130787,509
130788,509
130792,509
130793,509
130795,509
130797,509
130799,509
131634,512
131635,512
131636,512
131643,512
131644,512
131645,512
131649,512
131650,512
131651,512
131652,512
132313,515
132314,515
132315,515
132318,515
132319,515
132320,515
132324,515
132325,515
132326,515
132327,515
132337,515
132340,515
132341,515
132342,515
132343,515
132346,515
132349,515
132350,515
132351,515
132352,515
132353,515
132354,515
132357,515
132358,515
132362,515
132370,515
132372,515
132374,515
132375,515
132378,515
132380,515
132384,515
132386,515
132388,515
132389,515
132392,515
132393,515
132396,515
132400,515
132403,515
132404,515
132406,515
132409,515
132410,515
132411,515
132412,515
132413,515
132415,515
132416,515
132417,515
132422,515
132425,515
132426,515
132427,515
132428,515
132429,515
132431,515
132434,515
133376,519
133377,519
134007,521
134012,521
134014,521
134017,521
134018,521
134019,521
136645,531
136652,531
136653,531
136658,531
136659,531
136663,531
136664,531
136665,531
136666,531
136667,531
136669,531
136672,531
136674,531
140295,545
140298,545
142913,555
142914,555
142915,555
142918,555
142919,555
142920,555
142923,555
142927,555
142928,555
142930,555
142931,555
142932,555
142937,555
142938,555
142940,555
142941,555
142946,555
142947,555
142948,555
142950,555
142953,555
142957,555
142962,555
142966,555
142968,555
142970,555
