Index,Match
4265,17
4266,17
4267,17
4276,17
4278,17
15966,63
15967,63
19379,76
19380,76
19381,76
19383,76
19385,76
19387,76
19389,76
19391,76
19394,76
19395,76
24688,97
24690,97
24692,97
24697,97
24698,97
24701,97
24703,97
25229,99
27458,108
27460,108
27463,108
27464,108
27465,108
27466,108
27467,108
27468,108
27469,108
27470,108
27471,108
27474,108
27481,108
27484,108
27485,108
27488,108
27490,108
27492,108
31553,123
31554,123
41805,162
49397,192
49398,192
49400,192
49401,192
49402,192
49404,192
49405,192
49407,192
49408,192
49411,192
49412,192
49413,192
49415,192
146302,568
160143,621
166372,645
166373,645
166374,645
166375,645
166378,645
178441,692
