Index,Match
111867,434
111868,434
111869,434
111870,434
111871,434
111872,434
111875,434
111876,434
123354,479
123358,479
123360,479
123361,479
123364,479
124270,483
124273,483
124274,483
124278,483
124281,483
124283,483
124285,483
124286,483
124289,483
124290,483
124291,483
124292,483
124296,483
124297,483
124298,483
124301,483
124304,483
124305,483
124306,483
124310,483
124311,483
124312,483
124313,483
124314,483
124792,485
124793,485
124794,485
124806,485
124807,485
124808,485
124809,485
124810,485
124811,485
124812,485
124814,485
124815,485
124816,485
124818,485
124819,485
124820,485
124824,485
124826,485
124827,485
124828,485
124830,485
124832,485
124833,485
124839,485
124840,485
124842,485
125042,486
125044,486
125045,486
125047,486
125049,486
125054,486
125055,486
125057,486
125059,486
125060,486
125062,486
125064,486
125067,486
125070,486
125076,486
125079,486
125080,486
125579,488
125580,488
125582,488
125586,488
125587,488
125588,488
125590,488
125591,488
125592,488
125593,488
125596,488
125597,488
125599,488
125600,488
125601,488
125602,488
125603,488
125606,488
125610,488
125611,488
125612,488
125614,488
125615,488
125616,488
125619,488
125620,488
125621,488
125622,488
125623,488
125624,488
125625,488
125939,490
125940,490
125941,490
125942,490
125946,490
125947,490
125948,490
125949,490
125950,490
125958,490
125959,490
125965,490
125966,490
125967,490
125969,490
125970,490
125973,490
125974,490
125975,490
125981,490
125988,490
125990,490
125993,490
125994,490
125999,490
126002,490
126003,490
126004,490
126005,490
126008,490
126012,490
126013,490
126015,490
126016,490
126017,490
126018,490
126021,490
126024,490
126026,490
126028,490
126029,490
126032,490
126035,490
126040,490
127634,496
127635,496
127636,496
127637,496
128261,499
128262,499
128265,499
132579,516
132580,516
132581,516
132582,516
132583,516
132584,516
132587,516
132594,516
132595,516
132597,516
132598,516
132600,516
132601,516
132602,516
132603,516
132606,516
132607,516
132608,516
132611,516
132616,516
132618,516
132619,516
132622,516
132624,516
132625,516
132626,516
132631,516
132632,516
132639,516
132640,516
132641,516
132644,516
132646,516
132647,516
132648,516
132650,516
132652,516
132656,516
132660,516
132664,516
132665,516
132666,516
132667,516
132670,516
132672,516
132676,516
132679,516
132684,516
132688,516
132689,516
132690,516
133740,520
133745,520
133747,520
133750,520
133751,520
133752,520
133753,520
133755,520
133758,520
133759,520
133761,520
133764,520
133768,520
133769,520
133770,520
133771,520
133774,520
133775,520
133776,520
133778,520
133780,520
133786,520
133787,520
135392,526
135393,526
135394,526
135395,526
135396,526
135400,526
135401,526
135408,526
135410,526
135411,526
135412,526
135415,526
135416,526
135417,526
135419,526
135422,526
135424,526
135427,526
135428,526
135434,526
135437,526
135439,526
136510,531
136511,531
136512,531
136515,531
136522,531
136523,531
136525,531
136526,531
136527,531
136528,531
136536,531
136539,531
136540,531
136541,531
136542,531
136543,531
136544,531
136545,531
136546,531
136548,531
136550,531
136555,531
136556,531
137715,535
137716,535
137717,535
137718,535
137719,535
137720,535
137726,535
137727,535
137728,535
138887,540
138888,540
138889,540
138890,540
138893,540
138894,540
144031,559
144032,559
144034,559
144038,559
144040,559
144046,559
144047,559
144050,559
144053,559
144054,559
144058,559
144061,559
144062,559
