Index,Match
47828,186
47829,186
47831,186
47833,186
47834,186
47836,186
47839,186
47841,186
48876,190
48877,190
48878,190
48879,190
48880,190
48881,190
48882,190
48883,190
48884,190
48887,190
48888,190
61219,237
61220,237
61221,237
61222,237
61226,237
61228,237
61230,237
61233,237
61235,237
61236,237
61238,237
61240,237
61241,237
61244,237
61246,237
61251,237
61252,237
61257,237
61258,237
61259,237
61439,238
61440,238
61441,238
61442,238
61444,238
61447,238
61448,238
61450,238
61451,238
61457,238
61459,238
61460,238
61462,238
61465,238
61477,238
178199,691
178200,691
178201,691
178203,691
178205,691
178206,691
178207,691
178209,691
178210,691
178211,691
178213,691
178217,691
201282,782
207472,807
207473,807
207474,807
207475,807
207476,807
207478,807
207479,807
207486,807
207488,807
208491,811
208495,811
208496,811
209406,814
209408,814
209409,814
209410,814
209411,814
209413,814
209417,814
