Index,Match
22934,90
22935,90
22936,90
22937,90
22939,90
22940,90
22941,90
22942,90
22943,90
22944,90
22945,90
22950,90
22953,90
22954,90
22955,90
22956,90
22959,90
22963,90
22969,90
22970,90
22971,90
22972,90
22973,90
22976,90
22977,90
22980,90
22985,90
22988,90
22994,90
22995,90
22996,90
23000,90
23003,90
23004,90
24420,96
24423,96
24424,96
24425,96
24426,96
24427,96
24430,96
24431,96
24432,96
24434,96
24435,96
24436,96
76506,298
76507,298
76509,298
76510,298
76512,298
76513,298
76515,298
78964,308
78965,308
78966,308
78967,308
78968,308
78969,308
78970,308
78974,308
78976,308
78977,308
78982,308
78983,308
78987,308
78988,308
78989,308
78990,308
78991,308
78992,308
78996,308
78997,308
78998,308
79001,308
79002,308
79003,308
79005,308
79006,308
79007,308
79008,308
79010,308
79011,308
79012,308
79013,308
79014,308
79019,308
79023,308
79026,308
79030,308
79034,308
79035,308
79037,308
79040,308
79041,308
79043,308
79996,312
79997,312
79998,312
80006,312
80008,312
80009,312
80010,312
80012,312
80013,312
80017,312
80027,312
80029,312
80031,312
80032,312
80815,315
80816,315
80817,315
80819,315
80821,315
80822,315
80823,315
80825,315
80827,315
80828,315
80829,315
80830,315
80838,315
80839,315
80840,315
80841,315
80846,315
80851,315
80852,315
80853,315
80857,315
80859,315
80863,315
80866,315
80867,315
80869,315
80870,315
80871,315
80873,315
80875,315
80876,315
80877,315
80878,315
80879,315
80880,315
80881,315
80882,315
80883,315
80885,315
80887,315
80888,315
80890,315
80891,315
80892,315
80893,315
80895,315
80896,315
80897,315
80898,315
80899,315
80900,315
80905,315
80907,315
80908,315
80911,315
80913,315
80918,315
80921,315
80924,315
80925,315
80926,315
80927,315
80928,315
80929,315
80930,315
81533,318
81538,318
81539,318
81540,318
81541,318
81543,318
81545,318
81546,318
81548,318
81549,318
81550,318
81554,318
81557,318
81558,318
81564,318
81566,318
81570,318
81571,318
81573,318
81575,318
81576,318
81579,318
81582,318
81583,318
81585,318
81586,318
81588,318
81589,318
81590,318
81592,318
81593,318
81597,318
81599,318
81601,318
