Index,Match
1212,5
1213,5
1216,5
3660,15
3661,15
3662,15
4463,18
4464,18
4465,18
4469,18
4471,18
4474,18
4475,18
4477,18
4482,18
4484,18
4486,18
4488,18
4493,18
4495,18
4496,18
4497,18
4499,18
4500,18
4501,18
4502,18
4504,18
4507,18
4508,18
4512,18
4513,18
4514,18
4515,18
5363,21
5364,21
5365,21
5366,21
5367,21
5370,21
5373,21
5374,21
5375,21
5378,21
5379,21
5380,21
5381,21
5386,21
5387,21
5390,21
5391,21
5392,21
5395,21
5398,21
5399,21
5400,21
5402,21
5405,21
6124,24
6130,24
6131,24
6132,24
6133,24
6136,24
6137,24
6143,24
6144,24
6145,24
6146,24
6147,24
6148,24
6157,24
6158,24
7753,31
7754,31
7755,31
7756,31
7757,31
7761,31
7762,31
7764,31
7765,31
7766,31
7769,31
7773,31
7774,31
7776,31
7777,31
7778,31
7780,31
7781,31
8817,35
8822,35
8827,35
8828,35
8829,35
8832,35
8833,35
8835,35
8836,35
8841,35
9905,39
9908,39
9909,39
9918,39
9922,39
9923,39
9926,39
9927,39
9928,39
9929,39
9930,39
9931,39
9933,39
9934,39
9935,39
9938,39
9939,39
9941,39
9942,39
9945,39
10420,41
10421,41
10422,41
10423,41
10424,41
10425,41
10426,41
10429,41
10430,41
10431,41
10434,41
10436,41
11204,44
11206,44
11210,44
11211,44
11215,44
11216,44
11217,44
11218,44
11219,44
11220,44
11223,44
11224,44
11226,44
11229,44
11230,44
12459,49
12461,49
12468,49
12474,49
12475,49
12476,49
12485,49
12489,49
12490,49
12491,49
12494,49
12496,49
12497,49
12499,49
12500,49
12872,51
12875,51
12876,51
12877,51
12881,51
12885,51
12888,51
12889,51
12890,51
12891,51
12894,51
12895,51
12898,51
12899,51
12903,51
12906,51
12907,51
12910,51
12911,51
12912,51
12914,51
12916,51
12917,51
12924,51
12927,51
12928,51
12929,51
12931,51
12943,51
12946,51
12948,51
12950,51
12953,51
12955,51
12961,51
12962,51
12965,51
12967,51
12971,51
12976,51
12977,51
12980,51
12984,51
12985,51
12986,51
13978,55
13979,55
13981,55
13982,55
13983,55
13984,55
13985,55
13986,55
13987,55
13988,55
13989,55
13990,55
13991,55
13992,55
13995,55
13996,55
