Index,Match
7179,28
7180,28
7181,28
7183,28
7185,28
7186,28
7187,28
7188,28
7189,28
7191,28
9453,37
9457,37
9458,37
9461,37
9463,37
9464,37
9466,37
9470,37
11920,47
11921,47
11923,47
11924,47
11930,47
12826,50
12830,50
12832,50
12833,50
12834,50
12835,50
14337,56
14338,56
14341,56
14342,56
14343,56
14344,56
14347,56
14349,56
14874,59
14875,59
14876,59
14877,59
14878,59
77968,304
77970,304
77971,304
148789,577
148791,577
148793,577
148794,577
148797,577
148798,577
148799,577
148801,577
148802,577
148804,577
149926,582
149927,582
149928,582
149929,582
149930,582
149931,582
149933,582
149937,582
149938,582
149941,582
149944,582
149945,582
149946,582
149947,582
153535,596
153536,596
153537,596
153538,596
153539,596
153541,596
153542,596
153543,596
158625,615
158626,615
158627,615
158628,615
158631,615
158632,615
158636,615
158638,615
158639,615
158643,615
158644,615
158647,615
158648,615
158655,615
158656,615
158657,615
158658,615
158661,615
158662,615
158663,615
158666,615
158669,615
158670,615
158671,615
158674,615
158675,615
158676,615
158677,615
158678,615
158680,615
158684,615
158686,615
158689,615
158690,615
159814,620
159815,620
159817,620
159818,620
159819,620
159822,620
159825,620
159829,620
159836,620
159839,620
159841,620
159842,620
159844,620
159845,620
159847,620
159848,620
159849,620
159850,620
162223,629
162224,629
162226,629
163645,635
163653,635
165231,641
165233,641
165235,641
165236,641
165237,641
166611,646
166615,646
166617,646
166624,646
166625,646
166627,646
166633,646
166634,646
168543,654
168545,654
168551,654
168552,654
168553,654
168555,654
168558,654
170382,661
171951,667
174268,676
175317,680
175318,680
175319,680
175320,680
175321,680
178219,691
178220,691
180876,701
180880,701
180881,701
180885,701
180887,701
180889,701
180891,701
183526,711
183528,711
183529,711
183530,711
183531,711
183532,711
183537,711
183539,711
183541,711
183542,711
186121,721
186126,721
186127,721
186128,721
186129,721
186739,724
188348,731
188349,731
189494,735
189496,735
189498,735
189499,735
189501,735
189503,735
189506,735
189509,735
189511,735
189512,735
189514,735
189515,735
189518,735
189520,735
189521,735
189523,735
189524,735
189525,735
189526,735
189527,735
189528,735
190918,741
190919,741
190920,741
190924,741
190925,741
190926,741
190928,741
190929,741
190930,741
190931,741
190935,741
190939,741
190941,741
191758,744
191759,744
191761,744
191763,744
191767,744
191768,744
191770,744
193443,752
193446,752
193448,752
193449,752
193451,752
193454,752
193456,752
193457,752
193463,752
193464,752
193466,752
193470,752
193473,752
193477,752
193480,752
193482,752
193483,752
193485,752
193487,752
193489,752
193490,752
195610,760
195611,760
195612,760
195613,760
195614,760
195616,760
195617,760
195618,760
195619,760
195620,760
195621,760
195622,760
195627,760
195628,760
195629,760
195630,760
195631,760
195633,760
196519,764
196521,764
208613,811
208614,811
208615,811
208616,811
208617,811
208622,811
208624,811
208627,811
208629,811
208630,811
208631,811
208636,811
208638,811
208640,811
