Index,Match
6903,27
6904,27
6905,27
6906,27
6911,27
6912,27
6913,27
13601,53
13604,53
13605,53
13606,53
13608,53
13609,53
13611,53
13614,53
13615,53
13617,53
13620,53
13621,53
13623,53
13626,53
13627,53
21710,85
21711,85
21712,85
21714,85
21715,85
21716,85
21717,85
25582,100
25583,100
25584,100
25585,100
25586,100
25588,100
25589,100
25590,100
25591,100
25593,100
25594,100
25596,100
25598,100
25600,100
25605,100
30261,118
30262,118
30263,118
33024,129
33026,129
33027,129
33028,129
33029,129
36420,142
37237,145
37238,145
46668,182
46669,182
46671,182
46674,182
46675,182
46676,182
46677,182
46679,182
46680,182
46684,182
46689,182
46690,182
46695,182
46696,182
46698,182
46700,182
46702,182
46703,182
46704,182
50479,196
50480,196
