Index,Match
64738,251
64740,251
64742,251
65733,255
65736,255
65737,255
65740,255
65742,255
65743,255
65746,255
65749,255
65751,255
65752,255
65753,255
65757,255
69046,268
69047,268
69048,268
69049,268
69052,268
69054,268
69055,268
69056,268
69058,268
69059,268
69060,268
69061,268
69068,268
77167,301
77168,301
77171,301
77174,301
77178,301
77180,301
77181,301
77184,301
77185,301
77186,301
85779,334
85783,334
85785,334
85786,334
85789,334
85793,334
85794,334
85795,334
85798,334
85799,334
93310,362
93311,362
93312,362
93313,362
93316,362
93317,362
93318,362
93320,362
93321,362
93322,362
93323,362
93325,362
93326,362
93328,362
93329,362
93332,362
93333,362
93335,362
93338,362
93342,362
98053,380
98055,380
111811,434
111812,434
111815,434
111816,434
111817,434
111820,434
111822,434
111823,434
111828,434
111831,434
111832,434
111837,434
111840,434
114086,442
114088,442
125916,490
125917,490
125918,490
125919,490
125920,490
125922,490
125929,490
125930,490
125931,490
131749,512
131751,512
131752,512
140394,545
140395,545
140397,545
140398,545
140401,545
140405,545
140408,545
140410,545
140412,545
146301,568
146303,568
160142,621
