Index,Match
86135,335
86136,335
86137,335
86139,335
86140,335
86141,335
86142,335
86143,335
86145,335
93721,364
93722,364
93728,364
93730,364
93731,364
93732,364
93733,364
93734,364
93738,364
100548,390
100549,390
100550,390
100551,390
100554,390
100561,390
100563,390
107809,418
107810,418
111735,433
111736,433
111737,433
115138,446
115140,446
115141,446
115142,446
115143,446
119272,462
119273,462
119274,462
119275,462
119279,462
119280,462
119282,462
119283,462
119284,462
121999,473
122000,473
122005,473
122006,473
122007,473
122008,473
126585,492
126587,492
126588,492
132557,515
143834,558
146951,570
146953,570
146954,570
146956,570
146960,570
146961,570
146962,570
146963,570
146971,570
147865,574
150622,584
150626,584
150628,584
150629,584
152717,592
152718,592
152720,592
152721,592
159462,618
159463,618
159464,618
159467,618
159468,618
159469,618
159470,618
159471,618
159478,618
159479,618
159482,618
162861,631
168152,652
168153,652
168154,652
168155,652
193210,750
193211,750
193213,750
207491,807
