Index,Match
921,4
923,4
924,4
925,4
926,4
928,4
929,4
931,4
932,4
934,4
935,4
1960,8
1961,8
1965,8
1969,8
1970,8
1972,8
1973,8
1975,8
1976,8
1978,8
1979,8
1980,8
1981,8
1983,8
1984,8
1985,8
1986,8
1990,8
1991,8
1994,8
1995,8
1996,8
2580,11
2581,11
2582,11
2583,11
2584,11
2585,11
2586,11
2587,11
2588,11
2589,11
2590,11
2591,11
2592,11
2594,11
2597,11
2598,11
2599,11
2600,11
2602,11
2603,11
2604,11
2605,11
2609,11
3744,15
3745,15
3748,15
3749,15
3752,15
3753,15
4822,19
4823,19
4828,19
4829,19
4833,19
4834,19
4835,19
4839,19
4843,19
4844,19
4845,19
4846,19
4847,19
4850,19
4851,19
4852,19
4853,19
4855,19
4856,19
4860,19
4862,19
4869,19
4870,19
4872,19
4878,19
4879,19
4884,19
4886,19
4888,19
4889,19
4891,19
4894,19
4895,19
4898,19
4900,19
4901,19
4905,19
4906,19
4907,19
4908,19
4910,19
4911,19
4912,19
4913,19
4914,19
4917,19
4918,19
4921,19
4922,19
4923,19
4924,19
4929,19
6528,26
6531,26
6534,26
6535,26
8117,32
8121,32
8127,32
8129,32
8132,32
8137,32
10571,42
10572,42
10577,42
10578,42
10579,42
10580,42
10581,42
10582,42
10583,42
10584,42
10586,42
10589,42
10591,42
10592,42
10593,42
10595,42
10597,42
10598,42
10599,42
10600,42
10601,42
10602,42
10603,42
10604,42
10610,42
10612,42
10614,42
10616,42
12070,48
12071,48
12074,48
12076,48
12077,48
12078,48
12080,48
12082,48
12083,48
12084,48
12085,48
12086,48
12089,48
12090,48
12091,48
12092,48
12093,48
12094,48
19763,78
19766,78
19767,78
19768,78
19769,78
19770,78
22327,88
22328,88
22803,90
22804,90
22805,90
22806,90
22807,90
22808,90
22810,90
22811,90
22812,90
22815,90
22816,90
22818,90
22821,90
22822,90
22823,90
22824,90
22825,90
22834,90
22835,90
22836,90
22837,90
22838,90
22839,90
22840,90
22844,90
22845,90
22846,90
22849,90
22852,90
22854,90
22855,90
24965,98
24966,98
24969,98
24970,98
24971,98
24987,98
24998,98
25001,98
25002,98
25004,98
25008,98
146099,567
146100,567
146105,567
146106,567
146107,567
146108,567
146110,567
146111,567
146114,567
146115,567
146116,567
146118,567
146119,567
146120,567
146122,567
146125,567
146126,567
146129,567
146130,567
146132,567
146133,567
146134,567
146144,567
146149,567
146151,567
146155,567
146156,567
146157,567
147007,571
147009,571
147012,571
147013,571
147014,571
147015,571
147021,571
147029,571
147031,571
147032,571
147033,571
148834,578
148836,578
148838,578
148841,578
148842,578
148843,578
149367,580
149368,580
149369,580
149370,580
149371,580
149372,580
149373,580
149379,580
149380,580
149382,580
149383,580
149385,580
149386,580
149388,580
149391,580
149395,580
150771,585
151806,589
151810,589
151821,589
151822,589
151823,589
151824,589
151826,589
151827,589
151828,589
151831,589
151832,589
151837,589
151838,589
153306,595
153307,595
153308,595
153309,595
153311,595
153313,595
153316,595
153318,595
153320,595
153323,595
153326,595
153327,595
153329,595
153331,595
153334,595
153336,595
153339,595
153342,595
153343,595
153344,595
153345,595
154991,601
154995,601
160694,623
160695,623
160696,623
160699,623
160700,623
160701,623
160705,623
160706,623
160709,623
160710,623
160711,623
162476,630
162477,630
162478,630
162479,630
162483,630
162484,630
162488,630
162489,630
174277,676
174278,676
174282,676
174292,676
174293,676
174294,676
174295,676
174298,676
174301,676
174302,676
174303,676
174308,676
174310,676
174311,676
174312,676
174319,676
174320,676
174321,676
174322,676
174323,676
175860,682
175861,682
175864,682
175865,682
175868,682
175869,682
175873,682
175874,682
175875,682
175876,682
175877,682
175878,682
175879,682
175880,682
175884,682
175885,682
175886,682
175890,682
175891,682
175894,682
175895,682
175896,682
175897,682
175902,682
176531,685
176532,685
176538,685
176539,685
176540,685
176543,685
176544,685
176545,685
176546,685
176547,685
176548,685
176549,685
176550,685
176551,685
176552,685
176553,685
176554,685
176555,685
176556,685
176562,685
176563,685
176564,685
176565,685
176568,685
176569,685
176571,685
176572,685
176575,685
176576,685
176583,685
176584,685
176587,685
176588,685
176589,685
176590,685
177586,689
177587,689
177588,689
177589,689
177590,689
177591,689
177592,689
177598,689
177599,689
177600,689
177601,689
177602,689
177603,689
177604,689
177605,689
177611,689
177612,689
177613,689
177617,689
177618,689
177619,689
178443,692
178448,692
178449,692
178450,692
178451,692
178452,692
178453,692
178458,692
178459,692
178460,692
178469,692
178474,692
178475,692
178476,692
178477,692
178478,692
178479,692
178482,692
178483,692
178484,692
178488,692
178489,692
178490,692
178493,692
178497,692
178499,692
178501,692
178503,692
178504,692
178505,692
178507,692
178508,692
178511,692
178512,692
178515,692
178516,692
178520,692
178521,692
178522,692
178527,692
178911,694
178912,694
178913,694
178914,694
178920,694
178922,694
178928,694
178929,694
178930,694
178932,694
178934,694
178935,694
178936,694
178939,694
178940,694
178941,694
178942,694
178943,694
178944,694
179308,696
179309,696
179310,696
179313,696
179314,696
179315,696
179316,696
179317,696
179318,696
179319,696
179320,696
179321,696
179324,696
179326,696
179327,696
179331,696
179343,696
179344,696
179347,696
179348,696
179349,696
179351,696
179352,696
179356,696
179357,696
179358,696
179361,696
179363,696
179364,696
179365,696
179369,696
179370,696
179375,696
179584,697
179585,697
179586,697
179587,697
179588,697
179593,697
179595,697
179596,697
179597,697
179598,697
179599,697
179600,697
179605,697
179606,697
179607,697
179609,697
179610,697
179611,697
179612,697
179619,697
179622,697
179624,697
179628,697
179629,697
179630,697
179631,697
179632,697
179634,697
179636,697
179638,697
179640,697
179641,697
179643,697
179644,697
179645,697
179649,697
179650,697
179651,697
179655,697
179657,697
179660,697
179666,697
179668,697
179669,697
179670,697
179673,697
179674,697
179676,697
179677,697
179678,697
179685,697
179687,697
186745,724
186746,724
186749,724
186750,724
186751,724
186752,724
186753,724
186754,724
186755,724
186757,724
187579,728
187582,728
187583,728
187585,728
187589,728
187590,728
187591,728
189955,737
189956,737
189957,737
189958,737
190585,740
190586,740
190587,740
190590,740
190592,740
190593,740
190594,740
190595,740
190602,740
190603,740
190605,740
190609,740
190610,740
190613,740
190620,740
190622,740
190623,740
190624,740
190626,740
190627,740
190628,740
190629,740
190630,740
190631,740
190632,740
190634,740
190635,740
190636,740
190640,740
190643,740
190644,740
190646,740
190647,740
190649,740
191783,744
191785,744
191786,744
191791,744
191792,744
191793,744
191794,744
191797,744
191798,744
191799,744
191800,744
191803,744
191805,744
191808,744
191809,744
192160,746
192172,746
