Index,Match
65207,253
65209,253
65210,253
65211,253
65215,253
65218,253
65219,253
65221,253
65223,253
65224,253
65225,253
65227,253
70309,273
70310,273
70311,273
70312,273
70314,273
70315,273
70319,273
70320,273
70321,273
70323,273
70324,273
70325,273
70326,273
70327,273
70329,273
70330,273
70913,275
70915,275
70917,275
70919,275
70923,275
70925,275
70926,275
70933,275
70935,275
70936,275
70939,275
70941,275
71575,278
71578,278
71579,278
71581,278
71582,278
71583,278
71584,278
71585,278
71586,278
71587,278
71589,278
71973,280
73005,284
73006,284
73008,284
73011,284
73012,284
73013,284
73014,284
73015,284
74303,289
74304,289
74306,289
74309,289
74310,289
74311,289
74312,289
74314,289
74317,289
74325,289
74327,289
74328,289
74329,289
75875,295
75880,295
75881,295
75882,295
75883,295
75886,295
87620,341
87621,341
87622,341
87623,341
87624,341
87625,341
87626,341
87627,341
89241,347
89243,347
89245,347
89246,347
89247,347
89249,347
89250,347
89251,347
89252,347
89253,347
89254,347
89256,347
89257,347
92027,357
93532,363
93533,363
93536,363
93540,363
93542,363
93544,363
93545,363
93550,363
93551,363
93552,363
93553,363
93556,363
93557,363
93558,363
93559,363
93560,363
93561,363
93562,363
101460,393
101462,393
101463,393
102644,398
102645,398
