Index,Match
93618,364
93619,364
93620,364
93623,364
93624,364
93625,364
93626,364
93632,364
93633,364
93634,364
93635,364
93644,364
93647,364
93649,364
93650,364
93652,364
93655,364
93656,364
94362,367
95956,373
95957,373
95958,373
95959,373
95960,373
95961,373
95969,373
95970,373
95973,373
95974,373
95975,373
95976,373
95977,373
95981,373
95983,373
95984,373
95985,373
95986,373
95987,373
95988,373
95990,373
95991,373
95995,373
95996,373
95997,373
95998,373
95999,373
96000,373
96001,373
96002,373
96619,375
96620,375
96621,375
96622,375
96623,375
96624,375
96629,375
96630,375
96631,375
96632,375
96634,375
96635,375
96637,375
96638,375
96639,375
96640,375
96641,375
96642,375
96647,375
96649,375
96652,375
96655,375
96661,375
96662,375
96663,375
96665,375
96667,375
96668,375
96676,375
96677,375
96680,375
96682,375
96685,375
97283,378
97284,378
97285,378
97286,378
97289,378
97290,378
97291,378
97292,378
97293,378
97296,378
97297,378
97301,378
97302,378
97305,378
97306,378
97307,378
97308,378
98733,383
98734,383
99517,386
99518,386
99519,386
99520,386
99521,386
99522,386
99527,386
99528,386
99531,386
99532,386
99533,386
99534,386
99535,386
99537,386
99538,386
99539,386
99540,386
99542,386
99543,386
99546,386
99547,386
99550,386
99558,386
99559,386
99560,386
99562,386
100443,390
100444,390
100445,390
100446,390
100447,390
100448,390
100450,390
100451,390
100452,390
100455,390
101115,392
101116,392
101117,392
101118,392
101119,392
101120,392
101121,392
101123,392
101124,392
101125,392
101126,392
101127,392
101129,392
101130,392
101132,392
101133,392
101134,392
101135,392
101136,392
101137,392
101138,392
101140,392
101141,392
101142,392
101147,392
101148,392
101149,392
101150,392
101151,392
101152,392
101155,392
101157,392
101158,392
101159,392
101162,392
101163,392
101165,392
101166,392
101168,392
101169,392
101170,392
101171,392
101172,392
101174,392
101175,392
102936,399
102937,399
102942,399
102943,399
102944,399
102945,399
103847,403
103848,403
103850,403
103851,403
103852,403
103854,403
103855,403
103860,403
121491,472
121492,472
