Index,Match
1597,7
1600,7
1601,7
1605,7
1607,7
1608,7
1609,7
1617,7
1618,7
1622,7
1623,7
1624,7
1626,7
1628,7
1629,7
1630,7
1631,7
1633,7
1635,7
1636,7
1637,7
1639,7
1642,7
1643,7
1645,7
1648,7
1651,7
1652,7
1657,7
1659,7
1661,7
1663,7
1664,7
1666,7
1670,7
1671,7
1674,7
1678,7
1680,7
1681,7
1682,7
1683,7
1684,7
1685,7
1686,7
1687,7
1688,7
1689,7
2768,11
2769,11
2771,11
2776,11
2778,11
2782,11
2785,11
2786,11
2787,11
2789,11
2792,11
2794,11
2796,11
2797,11
2800,11
2806,11
2807,11
3383,14
3384,14
3386,14
3388,14
3392,14
3393,14
3394,14
3396,14
3397,14
3403,14
3404,14
3405,14
3406,14
3412,14
3415,14
3416,14
3420,14
3421,14
3422,14
3427,14
3430,14
3432,14
3436,14
3437,14
3439,14
3440,14
3441,14
3442,14
3443,14
3444,14
3447,14
3448,14
3449,14
3450,14
3451,14
3456,14
4561,18
4565,18
4571,18
4575,18
4576,18
4577,18
4578,18
4582,18
4583,18
4584,18
4586,18
4587,18
4588,18
4590,18
4591,18
4592,18
4596,18
4598,18
4599,18
4600,18
4603,18
4605,18
4607,18
4608,18
4609,18
4611,18
4613,18
4617,18
4619,18
4622,18
4624,18
4625,18
4630,18
4631,18
4634,18
4636,18
4640,18
4642,18
4645,18
4647,18
4649,18
4651,18
4654,18
4655,18
4656,18
4657,18
4661,18
4662,18
4663,18
4665,18
4669,18
4670,18
5812,23
5813,23
5816,23
5820,23
5821,23
5823,23
5824,23
5825,23
5826,23
5830,23
5831,23
5835,23
5839,23
5841,23
5846,23
5847,23
5848,23
5850,23
5854,23
5855,23
5856,23
6831,27
6834,27
6835,27
6837,27
6840,27
6842,27
6843,27
6846,27
6847,27
6848,27
6852,27
6854,27
6859,27
6860,27
6861,27
6862,27
7948,31
7957,31
7961,31
7962,31
9124,36
9125,36
9130,36
9131,36
9132,36
9134,36
9135,36
9136,36
9137,36
9139,36
9141,36
9146,36
9147,36
9148,36
9150,36
9152,36
9157,36
9158,36
9159,36
9160,36
9161,36
9162,36
9163,36
9165,36
9166,36
9167,36
9168,36
9170,36
9171,36
9172,36
10067,40
10072,40
10073,40
10074,40
10075,40
10077,40
10079,40
10080,40
10083,40
10084,40
10086,40
10087,40
10093,40
10094,40
10096,40
10097,40
10098,40
10099,40
10100,40
10102,40
10103,40
10105,40
10106,40
10109,40
10110,40
10111,40
10112,40
10114,40
10117,40
10119,40
10120,40
