Index,Match
67829,263
67835,263
67849,263
67850,263
68342,265
68343,265
68345,265
68346,265
68347,265
68348,265
68943,267
68946,267
68947,267
68948,267
68949,267
68950,267
73779,287
73780,287
73783,287
73784,287
73785,287
74590,290
74591,290
74592,290
74594,290
78246,305
78247,305
89740,349
89741,349
89744,349
89745,349
89746,349
95379,370
95380,370
95381,370
95383,370
95384,370
95385,370
95387,370
110655,429
114772,445
126814,493
126815,493
126816,493
126817,493
126819,493
126820,493
126822,493
126823,493
149435,580
149436,580
149437,580
149438,580
149440,580
149443,580
149444,580
149446,580
149447,580
149448,580
149449,580
149450,580
149451,580
149452,580
149456,580
149457,580
149458,580
149459,580
149460,580
155060,601
155061,601
155062,601
156138,605
158825,616
158829,616
158830,616
158831,616
