Index,Match
4547,18
8902,35
8905,35
8909,35
8910,35
11261,44
11264,44
11265,44
11266,44
12569,49
12570,49
12989,51
12990,51
12991,51
12992,51
14077,55
14078,55
14080,55
14081,55
14085,55
14087,55
14088,55
14090,55
14092,55
18312,72
18316,72
18319,72
18320,72
18323,72
18325,72
33843,132
43127,167
49150,191
49153,191
59386,230
146684,569
146685,569
146688,569
146690,569
146691,569
146693,569
146697,569
146700,569
146701,569
146703,569
166368,645
166369,645
166370,645
166371,645
174120,675
175854,682
175855,682
178436,692
201170,782
203002,789
203004,789
203006,789
