Index,Match
327,2
331,2
334,2
335,2
337,2
338,2
339,2
341,2
342,2
344,2
345,2
349,2
351,2
352,2
353,2
354,2
357,2
359,2
360,2
362,2
363,2
365,2
366,2
368,2
370,2
372,2
377,2
378,2
382,2
1742,7
1743,7
1750,7
1754,7
1757,7
1758,7
1759,7
1763,7
1764,7
1766,7
1767,7
1768,7
1775,7
1781,7
1784,7
1785,7
1787,7
1789,7
1792,7
1794,7
1796,7
1797,7
1799,7
1801,7
1802,7
1803,7
1805,7
1806,7
1807,7
1808,7
2470,10
2471,10
2472,10
2473,10
2477,10
2478,10
2481,10
2482,10
2483,10
2485,10
2486,10
2488,10
2489,10
2490,10
2491,10
2492,10
2494,10
2495,10
2497,10
2499,10
2500,10
2502,10
2503,10
2504,10
2509,10
2510,10
2512,10
2514,10
2515,10
2518,10
2519,10
2520,10
2522,10
2533,10
2545,10
2548,10
2549,10
2970,12
2976,12
2977,12
2978,12
2980,12
2981,12
2986,12
2988,12
2991,12
2992,12
2994,12
2995,12
2996,12
2997,12
2998,12
3000,12
4013,16
4014,16
4015,16
4016,16
4017,16
4018,16
4019,16
4020,16
4021,16
4022,16
4024,16
4025,16
4026,16
4027,16
4028,16
4029,16
4030,16
4031,16
4035,16
4036,16
4040,16
4041,16
4045,16
4046,16
4047,16
4049,16
4050,16
4051,16
4052,16
4053,16
4056,16
4058,16
4059,16
4060,16
4062,16
4063,16
4065,16
4067,16
4068,16
4069,16
4071,16
4072,16
5658,22
5659,22
5661,22
5662,22
5665,22
5666,22
5668,22
5672,22
5673,22
5674,22
5675,22
5679,22
5681,22
5683,22
5684,22
5685,22
5687,22
5689,22
5690,22
5691,22
5692,22
5694,22
5695,22
5698,22
5702,22
5704,22
5705,22
5706,22
5707,22
5709,22
5710,22
5711,22
5712,22
5716,22
5717,22
5718,22
6023,24
6025,24
6032,24
6033,24
6034,24
6035,24
6036,24
6037,24
6038,24
7144,28
7145,28
7146,28
7147,28
7152,28
7155,28
7156,28
7158,28
7162,28
8676,34
8677,34
8678,34
8685,34
8688,34
8690,34
8693,34
8697,34
8698,34
8700,34
8702,34
8703,34
8704,34
8705,34
8706,34
8708,34
9371,37
9372,37
9374,37
9375,37
9378,37
9379,37
9380,37
9381,37
9385,37
9386,37
9387,37
9389,37
9394,37
9396,37
9397,37
9398,37
9403,37
9404,37
9405,37
9407,37
9408,37
9410,37
9411,37
9413,37
9418,37
9421,37
9422,37
9425,37
9426,37
11817,47
11818,47
11822,47
11823,47
11824,47
11825,47
11827,47
11828,47
11829,47
11830,47
11831,47
11832,47
12779,50
12781,50
12785,50
12786,50
12787,50
12788,50
12789,50
12790,50
12795,50
12800,50
12801,50
12802,50
15737,62
15738,62
15739,62
15744,62
15745,62
15746,62
15749,62
15751,62
15755,62
15757,62
15761,62
15762,62
15764,62
15765,62
15766,62
15768,62
15769,62
15770,62
15774,62
15775,62
15776,62
15780,62
15782,62
15783,62
15788,62
15795,62
15796,62
16125,64
16126,64
16129,64
16131,64
16132,64
16133,64
16134,64
16135,64
16136,64
16137,64
16138,64
16139,64
16140,64
16141,64
17329,69
17330,69
17331,69
17333,69
17334,69
17335,69
17336,69
17343,69
17344,69
17346,69
17347,69
17348,69
17351,69
17352,69
17357,69
17358,69
18163,72
18164,72
18165,72
18166,72
18167,72
18168,72
18169,72
18170,72
18171,72
18172,72
18173,72
18175,72
18177,72
18183,72
18184,72
18185,72
18188,72
18192,72
18194,72
18195,72
18199,72
18200,72
18202,72
18207,72
18208,72
18209,72
18210,72
18215,72
18216,72
18219,72
18223,72
18224,72
18225,72
18226,72
18227,72
18228,72
18796,74
18798,74
18801,74
18804,74
18805,74
18808,74
18811,74
18812,74
18813,74
18816,74
18817,74
18818,74
18823,74
18827,74
18831,74
18832,74
18838,74
18839,74
18842,74
18845,74
18846,74
18847,74
18851,74
18852,74
18853,74
18854,74
18855,74
18857,74
19469,77
19472,77
19474,77
19476,77
19477,77
21610,85
21616,85
21617,85
21620,85
21624,85
21626,85
21627,85
22470,88
22479,88
22480,88
22481,88
22483,88
22485,88
22488,88
22489,88
22491,88
22494,88
24462,96
24463,96
24464,96
24465,96
24469,96
24470,96
24471,96
24479,96
24483,96
24484,96
24485,96
24486,96
24491,96
24497,96
24499,96
24500,96
24503,96
24504,96
24506,96
24507,96
24515,96
24516,96
24518,96
24519,96
24520,96
24521,96
24523,96
25521,100
25522,100
25523,100
25527,100
25528,100
25529,100
25530,100
25531,100
25532,100
25535,100
25538,100
25539,100
25540,100
25542,100
25545,100
25548,100
25549,100
25551,100
25552,100
26259,103
26260,103
26262,103
26263,103
26264,103
27517,108
27518,108
27519,108
27520,108
27521,108
27522,108
27525,108
27527,108
27528,108
27529,108
27530,108
27533,108
27534,108
27535,108
27537,108
27539,108
27540,108
27543,108
28923,113
28924,113
28928,113
28930,113
28931,113
29769,117
29774,117
29775,117
29776,117
29777,117
30165,118
30167,118
30168,118
30169,118
30170,118
30171,118
30172,118
30175,118
30176,118
30181,118
30182,118
30183,118
30184,118
30186,118
30192,118
30193,118
30906,121
30913,121
30914,121
30915,121
30916,121
30919,121
30920,121
30921,121
30922,121
30923,121
30924,121
30927,121
30930,121
30931,121
30936,121
30937,121
30938,121
30940,121
30941,121
30944,121
30946,121
30947,121
30950,121
30953,121
30954,121
30955,121
30956,121
30957,121
30958,121
30965,121
30966,121
30968,121
30973,121
30974,121
30975,121
30979,121
30980,121
30981,121
30982,121
30984,121
30985,121
30986,121
30987,121
30988,121
30990,121
30991,121
30993,121
30994,121
30995,121
31870,125
31871,125
31875,125
31877,125
31881,125
31886,125
31887,125
31889,125
31890,125
31891,125
31892,125
31893,125
31896,125
31897,125
31899,125
31901,125
31902,125
31904,125
31908,125
31909,125
31910,125
31914,125
31915,125
31916,125
31917,125
31921,125
31922,125
31923,125
31925,125
31926,125
31927,125
31928,125
31932,125
31933,125
31934,125
32947,129
32951,129
34967,136
34968,136
34970,136
34971,136
34972,136
34974,136
34975,136
34978,136
34982,136
34984,136
34985,136
34987,136
34989,136
34991,136
34992,136
34993,136
34994,136
34995,136
34996,136
34997,136
34999,136
35000,136
35001,136
36338,142
36339,142
36340,142
36341,142
37168,145
37170,145
37173,145
37179,145
37181,145
37182,145
37183,145
37185,145
37188,145
37189,145
37191,145
37192,145
37193,145
37928,148
37931,148
37932,148
37937,148
37942,148
37945,148
37946,148
37948,148
37949,148
37951,148
37953,148
37955,148
37956,148
37957,148
37958,148
37959,148
37960,148
37961,148
39622,154
39623,154
39624,154
39625,154
39626,154
39627,154
39630,154
39634,154
39635,154
39640,154
39641,154
39642,154
39643,154
39644,154
39652,154
39654,154
39655,154
39656,154
39661,154
39662,154
39663,154
39664,154
39666,154
39668,154
39669,154
39674,154
39678,154
39680,154
39681,154
39682,154
39687,154
39688,154
39689,154
39690,154
39691,154
39693,154
39700,154
39701,154
39702,154
39703,154
39704,154
39705,154
39706,154
39714,154
39715,154
39719,154
40294,157
40296,157
40297,157
40298,157
40299,157
40301,157
40302,157
40303,157
40307,157
40309,157
40310,157
41567,162
41568,162
41569,162
41571,162
41572,162
41573,162
41574,162
41580,162
41581,162
41585,162
41586,162
41587,162
