Index,Match
131775,513
131776,513
131777,513
131778,513
131779,513
131781,513
131782,513
131783,513
131787,513
131788,513
131789,513
131790,513
132704,516
132709,516
132712,516
132713,516
132716,516
132717,516
132718,516
132719,516
132720,516
132721,516
132724,516
132725,516
132726,516
132727,516
132728,516
132729,516
132731,516
132732,516
132735,516
132736,516
132737,516
132738,516
132739,516
132740,516
132741,516
133614,520
133615,520
133616,520
133618,520
133620,520
133621,520
133622,520
133623,520
133625,520
133632,520
133633,520
133636,520
133637,520
133638,520
133639,520
133643,520
133644,520
133649,520
133650,520
133657,520
133658,520
133660,520
134535,523
134536,523
134542,523
134543,523
136399,530
136400,530
136406,530
136408,530
136411,530
136413,530
136416,530
136417,530
136418,530
136419,530
136420,530
136421,530
136422,530
136425,530
136426,530
136427,530
136430,530
136431,530
136433,530
136434,530
136435,530
136440,530
136441,530
136443,530
136449,530
136450,530
136451,530
136452,530
136454,530
136455,530
136457,530
136460,530
136464,530
136465,530
136467,530
136468,530
137452,534
137453,534
137454,534
137459,534
137468,534
137470,534
137472,534
137474,534
137477,534
137478,534
138664,539
138665,539
138667,539
138668,539
140559,546
140560,546
140561,546
140563,546
140564,546
140565,546
140566,546
140568,546
140569,546
140572,546
140573,546
141258,549
141259,549
141260,549
141262,549
141269,549
141270,549
141273,549
141274,549
141275,549
141276,549
141277,549
141278,549
141280,549
141281,549
141282,549
141924,551
141930,551
141931,551
141932,551
