Index,Match
113711,441
113712,441
113714,441
113718,441
114799,445
114800,445
114801,445
114802,445
114803,445
114804,445
114805,445
114806,445
114808,445
114809,445
114810,445
114811,445
114817,445
114821,445
114822,445
114823,445
114827,445
114828,445
114829,445
114830,445
114833,445
114834,445
114835,445
114837,445
114840,445
132693,516
132694,516
132695,516
132697,516
132698,516
132699,516
132700,516
132703,516
136601,531
136605,531
136606,531
136607,531
145247,564
145248,564
145249,564
145250,564
145255,564
145258,564
145259,564
145262,564
145263,564
145264,564
145265,564
145266,564
145267,564
145268,564
145269,564
145270,564
145273,564
145274,564
146390,568
146391,568
146392,568
146393,568
146395,568
146397,568
146398,568
146402,568
146403,568
147968,574
147973,574
147987,574
148752,577
148754,577
148756,577
148758,577
148760,577
148763,577
148764,577
148765,577
148766,577
148768,577
148769,577
148771,577
148773,577
148774,577
148775,577
148777,577
148779,577
148780,577
148783,577
148786,577
148787,577
148788,577
148790,577
148792,577
148795,577
149948,582
149949,582
149952,582
149955,582
150875,585
150879,585
150882,585
150883,585
150884,585
150886,585
150888,585
150892,585
150893,585
150894,585
150896,585
150897,585
153546,596
153547,596
153548,596
153549,596
157734,612
157735,612
157737,612
157738,612
157739,612
157742,612
157743,612
157744,612
157748,612
157749,612
157753,612
157754,612
157755,612
157756,612
157759,612
157760,612
157764,612
157765,612
157768,612
157769,612
157772,612
157773,612
157776,612
157777,612
157778,612
157779,612
157780,612
158621,615
158624,615
158629,615
158630,615
158633,615
158634,615
158635,615
158637,615
158640,615
158641,615
158642,615
158645,615
158646,615
159852,620
159853,620
159854,620
159857,620
159859,620
159861,620
159862,620
159863,620
159864,620
159865,620
159866,620
159867,620
159869,620
159873,620
159874,620
159875,620
159878,620
159879,620
159881,620
160896,624
160898,624
160900,624
160901,624
160902,624
162206,629
162207,629
162208,629
162209,629
162210,629
162214,629
162215,629
162216,629
162218,629
162219,629
162220,629
162222,629
162225,629
162227,629
163232,633
163233,633
163234,633
163238,633
163240,633
163241,633
163242,633
163249,633
163251,633
163253,633
163627,635
163628,635
163629,635
163632,635
163634,635
163635,635
163636,635
163643,635
183637,712
183639,712
183641,712
183644,712
183645,712
183646,712
183647,712
183649,712
187624,728
187625,728
187628,728
187629,728
187630,728
187631,728
187633,728
196982,766
196983,766
196985,766
196986,766
196987,766
196988,766
196991,766
196992,766
196993,766
198669,772
198670,772
198672,772
198674,772
198680,772
198681,772
198682,772
198683,772
198684,772
198685,772
198688,772
198689,772
198690,772
198691,772
198694,772
199591,776
199593,776
199595,776
199596,776
199597,776
199599,776
199601,776
199602,776
199604,776
200901,781
200902,781
201955,785
201956,785
201957,785
201958,785
201959,785
201960,785
201962,785
201963,785
201965,785
201968,785
203128,789
203129,789
203130,789
203131,789
203132,789
203517,791
203518,791
203522,791
203523,791
203526,791
203527,791
203528,791
203529,791
204923,796
204927,796
204928,796
204930,796
204932,796
204933,796
204934,796
204935,796
204936,796
204939,796
204945,796
204946,796
204947,796
204949,796
206090,801
206093,801
206094,801
206095,801
206096,801
206098,801
206099,801
206100,801
206101,801
206103,801
206104,801
208074,809
208076,809
208084,809
208085,809
208086,809
208087,809
208088,809
208089,809
208090,809
208093,809
208096,809
208097,809
208102,809
208105,809
