Index,Match
91694,356
91696,356
91698,356
91699,356
91704,356
91711,356
91718,356
91719,356
91720,356
91721,356
91722,356
91725,356
91727,356
91728,356
91730,356
91731,356
91735,356
91736,356
91737,356
91739,356
91743,356
91744,356
91745,356
91746,356
91747,356
91748,356
91749,356
91750,356
91753,356
91754,356
92640,360
92641,360
92644,360
92645,360
92646,360
92648,360
92651,360
92652,360
92653,360
92654,360
92657,360
92658,360
92659,360
92660,360
92663,360
92664,360
92665,360
92667,360
92668,360
92669,360
92671,360
92672,360
92673,360
92674,360
92681,360
92684,360
92685,360
93705,364
93708,364
93709,364
93710,364
93711,364
93712,364
93713,364
93714,364
93720,364
94469,367
96078,373
97397,378
97399,378
97400,378
98784,383
98785,383
98786,383
98787,383
98788,383
98789,383
98791,383
98792,383
98793,383
98797,383
98800,383
98806,383
98807,383
98812,383
98813,383
98814,383
98815,383
98817,383
98819,383
98820,383
98825,383
98829,383
98831,383
98832,383
98833,383
104967,407
104968,407
104969,407
104970,407
104973,407
104974,407
104976,407
104977,407
104979,407
104981,407
104984,407
104986,407
129801,505
129805,505
129806,505
129809,505
129813,505
129814,505
129815,505
129816,505
129822,505
129823,505
129827,505
131109,510
131112,510
131114,510
131117,510
131120,510
131123,510
131125,510
131126,510
131127,510
136483,530
136485,530
136486,530
136487,530
136488,530
163120,633
163121,633
163123,633
163125,633
163127,633
163128,633
163129,633
163131,633
