Index,Match
138819,539
138822,539
138824,539
138826,539
138828,539
138830,539
138831,539
138832,539
138834,539
138839,539
138840,539
138842,539
138844,539
138845,539
142394,553
142395,553
142400,553
142404,553
142405,553
142413,553
142414,553
142415,553
142416,553
142417,553
142420,553
142422,553
142423,553
142424,553
142425,553
142427,553
142428,553
142429,553
142430,553
142431,553
142432,553
142433,553
142434,553
142437,553
142438,553
142439,553
142444,553
142446,553
142447,553
142449,553
142455,553
142458,553
142460,553
142464,553
142467,553
142468,553
142469,553
143058,556
143059,556
143061,556
143065,556
143066,556
143068,556
143069,556
143070,556
143073,556
143074,556
143075,556
143076,556
145166,564
145168,564
145169,564
145170,564
145173,564
145177,564
145178,564
145185,564
145186,564
145187,564
145190,564
145191,564
145192,564
145195,564
145197,564
145204,564
145206,564
145211,564
145214,564
145215,564
145216,564
145219,564
145220,564
145223,564
145224,564
145225,564
145228,564
145233,564
145234,564
145238,564
145245,564
146304,568
146306,568
146309,568
146314,568
146315,568
146316,568
146321,568
146324,568
146330,568
146332,568
146334,568
146335,568
146338,568
146339,568
146341,568
146343,568
146346,568
146348,568
146350,568
146353,568
146355,568
146357,568
147880,574
147881,574
147882,574
147883,574
147884,574
147885,574
147886,574
147887,574
147888,574
150790,585
150793,585
150795,585
150801,585
150804,585
150807,585
150809,585
150811,585
150813,585
150817,585
150818,585
150819,585
150820,585
150827,585
150828,585
150829,585
150830,585
153522,596
153523,596
153524,596
153525,596
153526,596
155513,603
155514,603
155515,603
155516,603
155517,603
155518,603
155522,603
155525,603
155526,603
157671,612
157672,612
157673,612
157674,612
157675,612
157676,612
157677,612
157678,612
157679,612
157680,612
157683,612
