Index,Match
91628,356
91633,356
91634,356
91635,356
91637,356
96469,374
97634,379
97635,379
97637,379
97638,379
97639,379
97640,379
97641,379
97642,379
97647,379
97648,379
97651,379
97652,379
97656,379
97658,379
97659,379
97675,379
100924,391
100930,391
100931,391
101892,395
104613,406
104616,406
104618,406
104623,406
104624,406
104629,406
104630,406
104631,406
104632,406
104638,406
104639,406
104640,406
104641,406
104642,406
104643,406
104644,406
104645,406
104648,406
104649,406
104651,406
104652,406
104656,406
104658,406
104659,406
104663,406
104672,406
104674,406
104676,406
104678,406
104682,406
104684,406
104688,406
104689,406
104695,406
104696,406
104698,406
104699,406
104700,406
104701,406
104707,406
104711,406
104713,406
104715,406
105773,410
105775,410
107990,419
107991,419
107993,419
107996,419
107997,419
107998,419
107999,419
108000,419
108001,419
108008,419
108009,419
108010,419
108011,419
108012,419
108014,419
108015,419
108017,419
108018,419
108019,419
108021,419
108026,419
108027,419
108030,419
108032,419
108035,419
108037,419
108042,419
108043,419
108046,419
108047,419
108048,419
108050,419
108054,419
108057,419
108060,419
108061,419
108063,419
108064,419
108067,419
108068,419
108069,419
108070,419
108072,419
108073,419
108074,419
108075,419
112382,436
112385,436
112386,436
112387,436
112388,436
112390,436
112392,436
112395,436
118733,460
118734,460
118735,460
118737,460
118741,460
118742,460
118743,460
118745,460
118746,460
118748,460
118750,460
118752,460
118757,460
118758,460
118761,460
118766,460
118767,460
118769,460
118770,460
118771,460
118772,460
118773,460
118774,460
118778,460
118781,460
118784,460
118786,460
118789,460
118790,460
118791,460
118794,460
118796,460
118797,460
123655,480
123657,480
123661,480
123662,480
123664,480
123665,480
123668,480
123669,480
123670,480
123674,480
123675,480
123676,480
123682,480
123683,480
147354,572
147355,572
147357,572
158383,614
158386,614
158393,614
