Index,Match
83278,324
83287,324
83288,324
83289,324
83976,327
83977,327
83978,327
83980,327
88560,344
88570,344
90423,351
90426,351
90431,351
91089,354
91090,354
91091,354
91092,354
91093,354
99867,387
99869,387
99871,387
99872,387
99873,387
99874,387
99876,387
99878,387
99880,387
99881,387
100675,390
100677,390
103188,400
103190,400
103192,400
103196,400
103198,400
103199,400
103200,400
103201,400
103202,400
106400,412
106401,412
106403,412
106404,412
106405,412
106406,412
106409,412
106412,412
106536,413
106538,413
106539,413
106540,413
106541,413
106542,413
106544,413
106545,413
106546,413
106553,413
113326,439
116961,453
116962,453
118753,460
118754,460
118755,460
118756,460
118759,460
118760,460
118762,460
118763,460
118764,460
118765,460
118768,460
118775,460
118776,460
118777,460
118779,460
118780,460
118782,460
118783,460
118785,460
118787,460
118788,460
118792,460
118793,460
118795,460
118799,460
119645,464
119646,464
119647,464
119648,464
120418,467
120419,467
120420,467
120421,467
121879,473
121886,473
123685,480
137553,534
137554,534
137555,534
137556,534
137557,534
142647,554
142648,554
142650,554
142652,554
142653,554
142654,554
147101,571
147103,571
148923,578
148925,578
148926,578
