Index,Match
1230,5
1231,5
1232,5
1233,5
1234,5
1235,5
1237,5
1238,5
1239,5
1240,5
1242,5
1243,5
1244,5
1245,5
1246,5
1247,5
1253,5
1254,5
1255,5
1256,5
1259,5
1260,5
1261,5
1262,5
1263,5
1265,5
1266,5
1270,5
1271,5
1272,5
1273,5
1277,5
1278,5
1280,5
1288,5
1291,5
1294,5
1297,5
1301,5
2122,9
2124,9
2126,9
2127,9
2129,9
2131,9
2133,9
2135,9
2136,9
2137,9
2138,9
2139,9
2140,9
2142,9
2143,9
2146,9
2147,9
2148,9
2151,9
2153,9
2156,9
2164,9
3694,15
3698,15
3700,15
3701,15
3707,15
3708,15
3709,15
3710,15
3711,15
4506,18
4509,18
4510,18
4511,18
4516,18
4517,18
4519,18
4520,18
4522,18
4523,18
4524,18
4525,18
4526,18
4527,18
4534,18
4535,18
4536,18
5411,21
6149,24
6150,24
6151,24
7839,31
7841,31
7842,31
7844,31
8837,35
8838,35
8839,35
8840,35
8844,35
8851,35
9925,39
9932,39
9936,39
9937,39
9940,39
9943,39
9944,39
9949,39
9950,39
9951,39
9954,39
9955,39
9958,39
9959,39
9960,39
9962,39
9963,39
9968,39
9970,39
9971,39
10437,41
10438,41
10439,41
10440,41
10441,41
10443,41
10445,41
10446,41
10447,41
10448,41
10449,41
10451,41
10452,41
10453,41
10454,41
10456,41
10457,41
10460,41
10462,41
10465,41
10467,41
10468,41
10469,41
10470,41
10471,41
10472,41
10473,41
10474,41
10479,41
10481,41
10482,41
10483,41
10485,41
10486,41
10491,41
10493,41
10494,41
10496,41
10498,41
10501,41
10502,41
10503,41
10504,41
10508,41
11214,44
11221,44
11222,44
12465,49
12466,49
12883,51
12884,51
12886,51
12887,51
12892,51
12893,51
12896,51
12897,51
12900,51
12901,51
12902,51
12904,51
12905,51
12908,51
12909,51
12913,51
12915,51
12918,51
12919,51
12920,51
12921,51
12922,51
14008,55
14012,55
14013,55
14014,55
14018,55
14020,55
14021,55
14027,55
14028,55
14030,55
14033,55
14034,55
14038,55
14041,55
14042,55
14043,55
14045,55
14049,55
14052,55
14055,55
14056,55
14057,55
14058,55
14060,55
14061,55
14062,55
14063,55
14066,55
14067,55
14070,55
14073,55
14074,55
14075,55
14076,55
15390,61
15391,61
15392,61
15395,61
15397,61
15399,61
15400,61
15401,61
15402,61
15404,61
15405,61
15406,61
15407,61
16470,65
16471,65
16472,65
16473,65
16474,65
16476,65
16477,65
16478,65
16487,65
16488,65
16489,65
16493,65
16496,65
16497,65
16498,65
17204,68
17207,68
17209,68
17210,68
17211,68
17212,68
17213,68
17214,68
17216,68
17220,68
17221,68
17224,68
17225,68
17226,68
17227,68
17228,68
17230,68
17231,68
17232,68
17236,68
17237,68
17238,68
17239,68
17241,68
17242,68
18250,72
18251,72
18252,72
18254,72
18255,72
18256,72
18257,72
18258,72
18260,72
18261,72
18262,72
18263,72
18264,72
18267,72
18268,72
18270,72
18273,72
18275,72
18276,72
18277,72
18278,72
18279,72
18280,72
18281,72
18282,72
18284,72
18285,72
18286,72
18290,72
18293,72
19670,78
19671,78
19672,78
19673,78
19675,78
19679,78
19680,78
19681,78
19683,78
19685,78
19688,78
19690,78
19691,78
19693,78
19695,78
19696,78
19697,78
19698,78
19700,78
19701,78
19703,78
19705,78
19707,78
19708,78
19713,78
19717,78
19720,78
19724,78
19725,78
19726,78
19728,78
19730,78
19731,78
19732,78
19738,78
19740,78
19741,78
19742,78
19743,78
19744,78
19745,78
19746,78
19747,78
19748,78
19749,78
19750,78
19751,78
19753,78
19754,78
19755,78
20583,81
20584,81
20592,81
20594,81
20595,81
20597,81
20598,81
21560,85
22688,89
22689,89
22690,89
22693,89
22694,89
22696,89
22698,89
22700,89
22701,89
22702,89
22703,89
22704,89
22708,89
22712,89
22716,89
22717,89
22718,89
22719,89
22721,89
22722,89
22724,89
22726,89
22729,89
22732,89
22733,89
22736,89
22737,89
22738,89
22739,89
22740,89
22743,89
22744,89
22747,89
22749,89
22750,89
22752,89
22753,89
22754,89
22755,89
22757,89
22758,89
22759,89
22760,89
22761,89
22763,89
22764,89
22765,89
23122,91
23123,91
23124,91
23125,91
23127,91
23129,91
23130,91
23131,91
23132,91
23137,91
23138,91
23140,91
23141,91
23144,91
23145,91
23148,91
23149,91
23150,91
23153,91
23154,91
23155,91
23156,91
23157,91
23158,91
23159,91
23161,91
23162,91
23164,91
23165,91
23167,91
23169,91
23170,91
23171,91
24113,95
24114,95
24116,95
24117,95
24118,95
24122,95
24124,95
24125,95
24129,95
24130,95
24131,95
24133,95
24135,95
24137,95
24138,95
24139,95
24145,95
24146,95
24148,95
24153,95
25654,101
25656,101
25657,101
25658,101
25659,101
25660,101
25661,101
25662,101
25664,101
25667,101
25668,101
25669,101
25670,101
25671,101
25672,101
25673,101
25674,101
25676,101
25677,101
25679,101
25681,101
25682,101
25684,101
25686,101
25689,101
25690,101
25693,101
25694,101
25695,101
25697,101
25701,101
25702,101
25705,101
25708,101
25709,101
25710,101
25711,101
25713,101
25714,101
25715,101
25716,101
25717,101
25719,101
25720,101
25721,101
25722,101
25723,101
25724,101
25728,101
25729,101
25730,101
25731,101
25732,101
25733,101
25734,101
25735,101
25736,101
25737,101
25738,101
25742,101
25743,101
25744,101
25745,101
25746,101
26441,104
26443,104
26444,104
26445,104
26446,104
26447,104
26448,104
26449,104
26451,104
26453,104
26454,104
26455,104
26459,104
26463,104
26464,104
26471,104
26472,104
26473,104
26475,104
26479,104
26483,104
26485,104
26487,104
26488,104
26489,104
26492,104
26493,104
26494,104
26495,104
26497,104
26498,104
26501,104
26502,104
26504,104
26505,104
28185,111
28190,111
28191,111
28192,111
28193,111
28194,111
28195,111
28197,111
28199,111
28202,111
28205,111
28206,111
28208,111
28209,111
28210,111
28211,111
28212,111
28214,111
28215,111
28216,111
28217,111
28218,111
28219,111
28220,111
28221,111
28225,111
28226,111
28982,114
28983,114
28984,114
28985,114
28986,114
28987,114
28991,114
28993,114
28994,114
28996,114
28998,114
28999,114
29001,114
29002,114
29003,114
29004,114
29005,114
29007,114
29009,114
29013,114
29018,114
29019,114
29023,114
29024,114
29026,114
29030,114
29032,114
29035,114
29038,114
29039,114
29040,114
29041,114
29042,114
29043,114
29044,114
29046,114
29047,114
29048,114
29049,114
29050,114
29051,114
29053,114
29054,114
29055,114
29056,114
31122,122
31123,122
31124,122
31125,122
31126,122
31129,122
31130,122
31132,122
31133,122
31138,122
31139,122
31140,122
31143,122
31144,122
31146,122
31149,122
31150,122
31151,122
31152,122
31153,122
31155,122
31156,122
31157,122
31158,122
31159,122
31161,122
31162,122
31165,122
31652,124
31654,124
31655,124
31656,124
31658,124
31659,124
31660,124
31661,124
31662,124
31663,124
31669,124
31671,124
31672,124
31673,124
31675,124
31676,124
33108,129
33109,129
33111,129
33114,129
33116,129
33117,129
33119,129
33120,129
33121,129
33124,129
33135,129
33136,129
33138,129
33139,129
33140,129
33894,132
33895,132
33896,132
33897,132
33899,132
33900,132
33901,132
33903,132
33904,132
33905,132
33907,132
33911,132
33918,132
33919,132
33922,132
33929,132
33930,132
33937,132
33938,132
33939,132
33941,132
33942,132
33943,132
33944,132
33948,132
33949,132
34562,135
34564,135
34573,135
34575,135
34577,135
34578,135
34579,135
35777,139
35780,139
35781,139
35788,139
35789,139
35790,139
35792,139
35797,139
35798,139
35799,139
35800,139
35802,139
35808,139
35809,139
37273,145
37274,145
37277,145
37278,145
37280,145
37281,145
37284,145
37286,145
37288,145
37289,145
37290,145
37291,145
37294,145
37300,145
37301,145
37302,145
37307,145
37310,145
37318,145
37319,145
37320,145
37321,145
37322,145
37324,145
37328,145
37331,145
37333,145
37336,145
37338,145
37339,145
37340,145
37343,145
38213,149
38216,149
38217,149
38218,149
38219,149
38223,149
38226,149
38228,149
38229,149
38233,149
38236,149
38239,149
38240,149
38244,149
38247,149
38248,149
38252,149
38256,149
38262,149
39383,153
39393,153
39394,153
39395,153
39396,153
39398,153
39399,153
39401,153
39402,153
39403,153
39408,153
40209,156
40210,156
40211,156
40212,156
40213,156
40214,156
40215,156
40218,156
40947,159
40948,159
40949,159
40950,159
40952,159
40953,159
40954,159
40956,159
40957,159
40958,159
40959,159
40962,159
40963,159
40965,159
40967,159
40972,159
40973,159
40974,159
40976,159
40977,159
40979,159
40980,159
40981,159
40983,159
40984,159
40987,159
40988,159
40990,159
40991,159
40992,159
40995,159
40997,159
41000,159
41006,159
41008,159
41010,159
42418,165
42420,165
42421,165
42423,165
42425,165
