Index,Match
2430,10
2432,10
2436,10
2438,10
4815,19
11042,43
11043,43
11048,43
11051,43
16755,66
20128,79
20132,79
20133,79
20134,79
20764,82
20765,82
20766,82
20767,82
20771,82
20772,82
20775,82
20776,82
20778,82
22120,87
22123,87
22125,87
24954,98
24959,98
24960,98
28809,113
30129,118
30131,118
30132,118
30133,118
30134,118
30135,118
30138,118
30139,118
30140,118
30141,118
30142,118
32602,127
32609,127
32610,127
32612,127
32613,127
32617,127
32620,127
32622,127
32623,127
32624,127
35537,138
38394,149
42192,164
42194,164
42195,164
42198,164
42199,164
42202,164
42203,164
42204,164
42205,164
42991,167
42995,167
44333,173
44335,173
45378,177
47842,186
51516,200
51517,200
55728,216
55729,216
55730,216
55732,216
55733,216
55734,216
55735,216
55737,216
55738,216
57309,222
57310,222
57312,222
57313,222
57314,222
57318,222
58344,226
58347,226
58348,226
58349,226
58350,226
58351,226
58352,226
61511,238
61512,238
61513,238
61514,238
61515,238
61516,238
61519,238
