Index,Match
15938,63
15939,63
15940,63
15941,63
15942,63
15944,63
15945,63
15946,63
15947,63
15948,63
15949,63
15951,63
15956,63
15957,63
15958,63
15959,63
15960,63
15961,63
15964,63
15965,63
18729,74
19374,76
19375,76
19377,76
19382,76
19384,76
19386,76
19388,76
19390,76
19392,76
19393,76
24676,97
24677,97
24680,97
24681,97
24682,97
24684,97
24687,97
24689,97
24691,97
24693,97
24694,97
24695,97
24696,97
24699,97
24700,97
24702,97
31556,123
33697,131
33698,131
33700,131
36961,144
36963,144
36964,144
36965,144
36966,144
36967,144
36968,144
37609,146
37610,146
37611,146
37612,146
37613,146
37614,146
37615,146
38927,151
41766,162
41769,162
41770,162
41774,162
41777,162
41778,162
41779,162
41780,162
41782,162
44013,172
44014,172
44015,172
44016,172
44023,172
44026,172
44028,172
44029,172
44031,172
44032,172
44035,172
44036,172
44040,172
44041,172
44043,172
44051,172
44053,172
44054,172
48358,188
48359,188
48367,188
48370,188
49373,192
49374,192
49379,192
49382,192
49386,192
49388,192
49390,192
51242,199
51244,199
56220,218
56221,218
56222,218
56223,218
56229,218
56231,218
56232,218
56233,218
56238,218
56239,218
56242,218
56244,218
56247,218
56248,218
56250,218
56255,218
56256,218
56257,218
56259,218
56261,218
56263,218
56265,218
56270,218
56271,218
59661,231
59665,231
59668,231
59669,231
177417,688
177419,688
177420,688
177423,688
177424,688
177425,688
177426,688
177429,688
177431,688
177432,688
182092,706
194721,757
194722,757
194723,757
194724,757
194725,757
194728,757
194729,757
194731,757
194734,757
194735,757
194736,757
194737,757
194739,757
194740,757
194742,757
194743,757
