Index,Match
5495,22
5496,22
5497,22
5498,22
5500,22
5505,22
5506,22
5508,22
5509,22
5510,22
5512,22
5513,22
5514,22
5515,22
5517,22
5521,22
5522,22
5523,22
5526,22
5527,22
5528,22
6536,26
6537,26
6538,26
6539,26
6540,26
6541,26
6542,26
6543,26
6549,26
6551,26
6553,26
6554,26
6555,26
6557,26
6564,26
6565,26
6568,26
6570,26
6571,26
6572,26
6573,26
6575,26
6578,26
6583,26
8130,32
8131,32
8133,32
8134,32
8135,32
8136,32
8139,32
8140,32
8141,32
8142,32
8143,32
8145,32
8146,32
8147,32
8148,32
8149,32
8150,32
8151,32
8152,32
8154,32
8155,32
8158,32
8160,32
8161,32
8162,32
8164,32
8166,32
8167,32
8173,32
8174,32
8178,32
8180,32
8181,32
8182,32
8185,32
8189,32
8190,32
8191,32
8192,32
8194,32
8195,32
8198,32
8200,32
8201,32
8202,32
8203,32
8204,32
8206,32
8207,32
8209,32
10554,42
10559,42
10560,42
10564,42
10565,42
10566,42
10567,42
10568,42
10570,42
10573,42
10574,42
10575,42
10576,42
10585,42
10587,42
10588,42
10590,42
11548,46
11549,46
11550,46
11554,46
11555,46
11561,46
11563,46
11566,46
11567,46
11568,46
11569,46
11571,46
11576,46
11577,46
11581,46
11582,46
11584,46
11585,46
11586,46
11587,46
11588,46
11590,46
11591,46
11592,46
11593,46
11594,46
11595,46
11597,46
11602,46
11604,46
11606,46
11609,46
11611,46
11612,46
11613,46
11615,46
11619,46
11623,46
11625,46
11629,46
11630,46
11632,46
11634,46
11635,46
11638,46
12095,48
12097,48
12098,48
12102,48
12104,48
12111,48
12112,48
12113,48
12115,48
12116,48
12117,48
12666,50
12667,50
12670,50
12671,50
12673,50
12674,50
12676,50
12678,50
12681,50
12682,50
12683,50
12687,50
12689,50
12690,50
12691,50
12692,50
12693,50
13658,54
13659,54
13660,54
13661,54
13662,54
13664,54
13665,54
13666,54
13667,54
13670,54
13675,54
13676,54
13677,54
66285,257
66286,257
66287,257
66288,257
66289,257
66290,257
66291,257
66292,257
66298,257
66301,257
66302,257
66307,257
66308,257
66310,257
66313,257
66314,257
66315,257
66316,257
66317,257
66319,257
66320,257
66324,257
66328,257
66329,257
66330,257
66333,257
66334,257
66335,257
66336,257
66337,257
66338,257
66342,257
66343,257
66345,257
66346,257
66347,257
66348,257
66352,257
66354,257
66358,257
66359,257
66360,257
66362,257
66363,257
66364,257
66365,257
66369,257
66372,257
66377,257
66378,257
66381,257
66382,257
66385,257
66386,257
66387,257
66389,257
66390,257
66392,257
66393,257
66394,257
66395,257
66397,257
66400,257
67214,261
67215,261
67216,261
67217,261
67218,261
67219,261
67220,261
67225,261
67226,261
67231,261
67232,261
67237,261
67239,261
67244,261
67252,261
67254,261
67255,261
67257,261
67260,261
67261,261
67262,261
67263,261
67270,261
67271,261
67272,261
67273,261
67275,261
67276,261
67277,261
67279,261
67280,261
67284,261
68089,264
68092,264
68093,264
68094,264
68104,264
68110,264
68112,264
68117,264
68122,264
68125,264
68127,264
68128,264
68129,264
68134,264
68135,264
68136,264
68138,264
68140,264
68142,264
68146,264
68147,264
68148,264
68149,264
68150,264
68151,264
68152,264
68159,264
68160,264
68161,264
68165,264
68166,264
68167,264
68171,264
68177,264
68180,264
69799,271
69800,271
69804,271
69807,271
69808,271
69811,271
69812,271
69813,271
69817,271
69818,271
69819,271
69821,271
69822,271
69826,271
69830,271
69831,271
69833,271
69835,271
69837,271
69838,271
69844,271
69846,271
69847,271
69848,271
69849,271
69850,271
69851,271
69852,271
69853,271
69854,271
69859,271
69860,271
69862,271
69864,271
69865,271
69866,271
69870,271
69871,271
69876,271
70600,274
70602,274
70603,274
70604,274
70605,274
70607,274
70608,274
70609,274
70610,274
70611,274
70612,274
70613,274
70614,274
70616,274
70618,274
70624,274
70625,274
70629,274
70630,274
70634,274
70639,274
70642,274
70643,274
70645,274
70646,274
70649,274
70650,274
70651,274
70652,274
70653,274
70654,274
70661,274
70662,274
70663,274
70664,274
70665,274
70666,274
70669,274
70672,274
70673,274
70674,274
70677,274
70679,274
70680,274
70681,274
70685,274
70686,274
70688,274
70689,274
70690,274
70691,274
70693,274
70695,274
70696,274
71215,277
71216,277
71221,277
71222,277
71223,277
71224,277
71225,277
71226,277
71229,277
71230,277
71231,277
71232,277
71233,277
71235,277
71236,277
71237,277
71238,277
71240,277
71247,277
71248,277
71249,277
71250,277
71252,277
71253,277
71254,277
71257,277
71258,277
71261,277
71262,277
71263,277
71264,277
71266,277
71267,277
71268,277
71269,277
71272,277
71273,277
71274,277
71275,277
71280,277
71282,277
71285,277
71288,277
71290,277
71291,277
71294,277
71295,277
71296,277
71299,277
71300,277
71303,277
71304,277
71305,277
71306,277
71307,277
71311,277
71312,277
71313,277
71314,277
71315,277
71318,277
71320,277
71321,277
71322,277
71326,277
71327,277
71328,277
71329,277
71330,277
71332,277
71333,277
71334,277
71976,280
71979,280
71980,280
71981,280
71982,280
73285,286
73286,286
73291,286
73292,286
73293,286
73294,286
73297,286
73298,286
73299,286
73300,286
73301,286
73303,286
73304,286
73309,286
73310,286
73313,286
73314,286
73316,286
73318,286
73319,286
73320,286
73322,286
73323,286
73324,286
73325,286
73326,286
73327,286
73328,286
73329,286
73330,286
73333,286
73334,286
73335,286
73337,286
73338,286
73340,286
73342,286
73343,286
73344,286
73345,286
73346,286
73348,286
73349,286
73350,286
73351,286
73353,286
73354,286
73357,286
73358,286
73359,286
73360,286
73361,286
73363,286
73364,286
