Index,Match
62420,242
62421,242
62422,242
62423,242
62425,242
62426,242
62434,242
68578,266
68583,266
68584,266
75809,295
75810,295
81453,317
81456,317
81460,317
86148,335
86149,335
86150,335
86151,335
86152,335
88819,345
88820,345
88824,345
88825,345
88827,345
88831,345
88832,345
88833,345
88835,345
88836,345
88842,345
93739,364
98834,383
98835,383
98836,383
98837,383
98840,383
100557,390
100558,390
100559,390
100560,390
100562,390
100564,390
100565,390
104999,407
105000,407
111165,431
111167,431
128384,499
128388,499
128389,499
128390,499
128392,499
128393,499
151284,587
151285,587
151286,587
151287,587
151291,587
151292,587
162348,629
