Index,Match
66692,259
66693,259
66694,259
66695,259
66697,259
66698,259
66699,259
66700,259
66706,259
66707,259
66710,259
66711,259
66712,259
66713,259
67742,263
67743,263
68236,265
68237,265
68238,265
68239,265
68240,265
68241,265
68242,265
68243,265
68249,265
68250,265
68251,265
68254,265
68255,265
68256,265
68258,265
68259,265
68261,265
68834,267
68839,267
68840,267
68843,267
68844,267
68846,267
68847,267
68849,267
68852,267
68854,267
68863,267
68864,267
68865,267
68866,267
68868,267
68870,267
68871,267
68872,267
68873,267
68875,267
68876,267
68877,267
68878,267
68879,267
68881,267
68882,267
68884,267
68887,267
68888,267
68889,267
69676,271
69677,271
69683,271
69684,271
70976,276
70977,276
70978,276
70979,276
70986,276
70988,276
70991,276
70994,276
70995,276
70998,276
70999,276
71000,276
71001,276
71002,276
71004,276
71005,276
71006,276
71007,276
71010,276
71011,276
71012,276
71013,276
71015,276
71019,276
71020,276
71021,276
71022,276
71023,276
71024,276
72722,283
72727,283
72728,283
72731,283
72732,283
72733,283
72734,283
72736,283
72737,283
72738,283
72744,283
72745,283
72747,283
72751,283
72753,283
72755,283
72756,283
72760,283
72761,283
72764,283
72765,283
73682,287
73683,287
73684,287
73685,287
73686,287
73687,287
73696,287
73697,287
73698,287
73699,287
73700,287
73702,287
73703,287
73704,287
73710,287
73711,287
73714,287
73715,287
73716,287
73717,287
73719,287
73720,287
73722,287
73726,287
73727,287
73729,287
73730,287
73737,287
73739,287
73740,287
73745,287
73747,287
73748,287
73750,287
73751,287
73752,287
73753,287
73755,287
73756,287
73758,287
74477,290
74479,290
74480,290
74481,290
75548,294
75549,294
75550,294
75551,294
75554,294
75555,294
75556,294
75557,294
75566,294
75567,294
