Index,Match
28693,113
28694,113
28698,113
28699,113
28700,113
28701,113
28702,113
28703,113
28704,113
28705,113
28707,113
28708,113
28710,113
28712,113
28713,113
28714,113
28715,113
28716,113
28718,113
28719,113
28727,113
28728,113
28731,113
28732,113
28733,113
28735,113
28738,113
28740,113
29493,116
29497,116
29498,116
29500,116
29503,116
29505,116
29506,116
29507,116
29509,116
30283,119
30285,119
30288,119
30290,119
30294,119
61139,237
61140,237
61141,237
61520,238
61521,238
69432,270
69434,270
69435,270
69436,270
69437,270
69438,270
69439,270
69440,270
69441,270
69443,270
69444,270
69445,270
69448,270
69449,270
69455,270
69456,270
69460,270
69461,270
69464,270
69465,270
69467,270
69470,270
69471,270
69473,270
72820,284
72821,284
72822,284
72823,284
72824,284
72825,284
72828,284
72829,284
72830,284
72831,284
72832,284
72833,284
72834,284
72835,284
72836,284
72837,284
72839,284
72841,284
72842,284
72843,284
72849,284
72850,284
72853,284
72854,284
72856,284
72857,284
72859,284
72861,284
72863,284
72864,284
72865,284
72867,284
72868,284
72869,284
72870,284
72872,284
72873,284
72875,284
72876,284
72877,284
72878,284
72879,284
72881,284
73556,287
73557,287
73558,287
73560,287
73561,287
73566,287
73567,287
73568,287
73569,287
73570,287
73571,287
73573,287
73574,287
73575,287
73577,287
73582,287
73584,287
73585,287
73586,287
80535,314
80536,314
80537,314
80538,314
80539,314
80544,314
80545,314
80546,314
80547,314
80548,314
80549,314
80550,314
80551,314
80554,314
80555,314
80556,314
80557,314
80558,314
80559,314
80561,314
80562,314
80563,314
80564,314
80565,314
80566,314
80567,314
80569,314
80570,314
80571,314
80574,314
80575,314
80576,314
80577,314
80579,314
80580,314
80582,314
80583,314
80584,314
80587,314
80588,314
80590,314
80591,314
80592,314
80593,314
80596,314
80599,314
80600,314
80603,314
80604,314
81762,319
81763,319
81769,319
81770,319
81771,319
81772,319
81773,319
81775,319
81778,319
81779,319
81787,319
81788,319
81789,319
81792,319
81793,319
92051,358
92052,358
92053,358
92054,358
92061,358
92062,358
92063,358
92064,358
92065,358
92066,358
114897,446
114898,446
114901,446
114902,446
114903,446
114904,446
114905,446
114906,446
114907,446
114908,446
114912,446
114913,446
114914,446
114915,446
114916,446
114917,446
114921,446
114926,446
114929,446
114930,446
114933,446
123121,478
123122,478
123123,478
124073,483
124075,483
124076,483
124077,483
124614,485
124615,485
124623,485
126871,494
126872,494
126874,494
126880,494
126881,494
126882,494
126883,494
126894,494
126896,494
126897,494
126899,494
126901,494
126902,494
126903,494
126908,494
126910,494
126912,494
126914,494
126915,494
128283,499
128982,502
128985,502
128986,502
128987,502
128988,502
128996,502
128997,502
128999,502
129001,502
129002,502
129005,502
129006,502
129007,502
129012,502
129016,502
129020,502
129022,502
129023,502
129026,502
129027,502
129028,502
129035,502
133301,518
133305,518
136090,529
136091,529
136093,529
136094,529
136097,529
136098,529
136099,529
136100,529
136102,529
136103,529
136104,529
136107,529
136108,529
136109,529
136113,529
136116,529
136120,529
136125,529
136127,529
136129,529
136131,529
136132,529
142388,553
142389,553
142392,553
