Index,Match
5859,23
16703,66
16706,66
16711,66
16712,66
16713,66
16715,66
16717,66
16718,66
16719,66
16723,66
16724,66
16726,66
17492,69
17494,69
17496,69
17497,69
17499,69
17505,69
17506,69
17508,69
17509,69
17510,69
17511,69
17513,69
17514,69
17520,69
17522,69
17525,69
17529,69
17530,69
17532,69
17533,69
17534,69
19108,75
19110,75
19111,75
19112,75
19113,75
19114,75
19117,75
19118,75
19121,75
19122,75
19125,75
19127,75
19128,75
19129,75
19130,75
20044,79
20045,79
20046,79
20048,79
20049,79
20051,79
20055,79
20057,79
20059,79
20060,79
20061,79
20062,79
20067,79
20068,79
20072,79
20073,79
20074,79
20075,79
20076,79
20724,82
20725,82
20726,82
20727,82
21245,84
21246,84
21247,84
21248,84
21249,84
21250,84
21252,84
21253,84
21254,84
21256,84
21257,84
21258,84
21260,84
21261,84
21262,84
21264,84
21265,84
21266,84
21272,84
21273,84
21274,84
21275,84
21278,84
21285,84
21290,84
21291,84
21292,84
21293,84
21296,84
21298,84
22096,87
22098,87
22099,87
22103,87
22104,87
22109,87
24891,98
24892,98
24893,98
24894,98
24896,98
24897,98
24898,98
24899,98
24905,98
24908,98
24909,98
24910,98
24912,98
24913,98
24914,98
24915,98
24917,98
24918,98
24919,98
24920,98
24921,98
24922,98
24923,98
24929,98
24932,98
24934,98
24935,98
24936,98
24939,98
24942,98
24943,98
24944,98
24945,98
24948,98
26812,105
26813,105
26815,105
26816,105
26817,105
26818,105
28801,113
28802,113
28803,113
28804,113
28806,113
28807,113
28808,113
29513,116
29514,116
29515,116
29517,116
29518,116
29519,116
29520,116
29521,116
29525,116
29526,116
30068,118
30069,118
30072,118
30073,118
30074,118
30078,118
30079,118
30081,118
30082,118
30085,118
30086,118
30087,118
30089,118
30092,118
30094,118
30095,118
30096,118
30097,118
30098,118
30100,118
30102,118
30106,118
30107,118
30108,118
30338,119
30339,119
30343,119
30344,119
30348,119
30351,119
30352,119
30357,119
30366,119
30369,119
30374,119
30375,119
30376,119
30379,119
30381,119
42175,164
42176,164
42177,164
42179,164
42180,164
42183,164
42185,164
42186,164
42188,164
42189,164
42193,164
112208,435
112209,435
112214,435
112219,435
112220,435
124186,483
124683,485
124684,485
124689,485
124690,485
124691,485
124692,485
124693,485
124694,485
124695,485
124697,485
124698,485
124699,485
124701,485
