Index,Match
16201,64
16207,64
16211,64
16212,64
16213,64
18230,72
18232,72
18237,72
19538,77
19539,77
19540,77
25554,100
25555,100
25556,100
25562,100
25566,100
25567,100
25568,100
25572,100
25573,100
25576,100
25577,100
25580,100
25581,100
25587,100
25592,100
25595,100
25597,100
47168,184
47170,184
47171,184
47172,184
47173,184
47175,184
47176,184
47177,184
47186,184
49354,192
49355,192
49356,192
49357,192
49358,192
49359,192
49362,192
49368,192
49369,192
49371,192
49375,192
49376,192
49377,192
49378,192
49380,192
49381,192
49383,192
49384,192
49385,192
49387,192
49389,192
49392,192
49396,192
49399,192
49403,192
49406,192
49409,192
49410,192
49414,192
49416,192
49417,192
49418,192
49419,192
49420,192
49421,192
49427,192
51200,199
51201,199
51206,199
51209,199
51210,199
51211,199
51213,199
51218,199
51221,199
51222,199
51227,199
51228,199
51229,199
51234,199
51235,199
51236,199
51237,199
55476,215
